4,95,90,90,95,90,90,95,250,90,95,90,112,94,90,90,255,90,90,95,90,90,95,90,250,95,90,90,95,90,90,95,250,90,95,90,90,95,90,114,255,90,90,95,90,90,95,90,250,95,90,90,95,90,90,95,250,90,95,177,90,95,90,90
8,95,90,90,255,90,90,95,250,90,95,90,272,95,90,90,255,90,90,95,250,90,95,90,250,95,90,90,255,90,90,95,235,90,95,90,235,95,90,128,240,90,90,95,234,90,95,90,342,95,90,112,239,90,90,95,235,90,95,172,235,95,145,90
12,95,90,250,95,90,250,95,250,90,95,250,90,95,250,90,255,90,114,255,90,90,240,177,235,95,90,235,95,90,235,95,235,90,95,235,90,95,235,90,239,90,90,255,90,177,255,90,250,95,90,274,95,90,250,185,250,90,95,250,90,95,250,90
16,95,251,90,255,90,250,95,250,90,255,90,250,95,250,90,240,90,235,95,235,90,239,90,234,95,234,90,240,90,235,95,250,90,255,90,250,95,251,90,255,90,250,95,250,90,256,90,235,95,235,90,240,90,235,95,235,90,239,171,235,95,234,90
20,95,251,90,255,250,90,255,250,90,255,90,272,239,90,235,240,90,235,95,235,234,95,235,235,95,250,114,255,250,90,255,250,90,255,90,250,255,90,234,240,90,235,95,234,235,95,235,234,95,234,90,257,252,193,257,252,90,257,171,253,258,183,252
24,95,250,251,256,90,250,255,250,90,255,235,235,95,235,235,240,90,234,240,234,90,255,250,250,95,250,250,255,90,250,255,235,90,240,235,235,95,235,235,239,90,235,258,252,90,257,252,252,95,252,252,257,90,237,241,237,90,242,237,237,95,236,237
28,95,250,250,255,250,250,255,250,90,240,235,235,240,235,235,240,90,235,255,250,250,255,250,250,95,250,251,240,235,235,240,234,90,239,235,235,258,252,253,257,90,253,258,252,252,242,237,237,95,237,236,242,237,237,257,252,90,257,252,252,257,252,252
32,255,250,250,255,250,250,255,234,235,240,234,235,240,235,257,256,251,274,255,250,250,255,250,235,239,235,235,240,234,234,240,252,252,257,252,252,257,253,274,242,237,237,242,236,237,242,237,277,257,252,274,257,252,252,258,236,237,242,237,237,241,237,236
36,255,250,250,256,251,250,255,235,234,240,234,235,240,235,272,255,250,274,255,250,250,240,234,235,239,235,235,240,252,252,257,253,252,257,252,236,242,237,259,242,237,237,258,252,252,257,252,278,258,236,258,242,236,237,241,237,241,247,242,241,247,242,242
40,255,250,250,255,250,250,240,235,235,240,235,234,255,250,272,255,250,274,255,235,234,240,235,235,239,253,253,257,253,253,258,237,237,242,237,237,242,237,274,258,253,252,257,252,237,242,237,262,242,237,259,246,242,242,246,242,242,237,233,233,238,232,232
44,255,250,250,255,250,234,240,234,235,240,235,250,255,250,272,255,250,259,240,234,235,240,235,252,257,252,252,257,252,237,241,237,236,242,253,253,258,252,274,257,237,236,242,237,237,241,242,266,247,242,264,246,233,233,237,233,233,237,242,242,247,242,242
48,255,250,251,255,250,235,240,234,234,239,250,250,255,250,273,240,235,259,239,235,235,258,252,252,257,252,237,241,237,236,242,252,252,257,252,252,257,237,259,241,237,237,247,242,241,247,242,258,238,232,254,238,232,242,246,242,242,247,233,233,237,233,233
52,255,250,250,255,235,235,239,235,235,255,250,250,255,250,257,240,235,259,239,253,253,258,252,252,241,237,236,242,237,252,257,252,252,257,237,236,242,237,259,246,242,242,247,241,233,237,233,258,237,242,264,246,242,242,237,233,232,237,233,247,252,247,247
56,255,250,250,255,234,235,240,235,235,255,250,250,255,234,257,240,234,259,257,252,252,258,236,237,241,237,236,257,253,252,257,237,237,242,237,237,247,242,264,246,242,232,237,233,232,247,241,267,247,242,255,237,233,233,252,247,247,252,247,236,242,236,237
60,255,250,250,255,235,234,239,235,250,255,250,250,239,234,257,239,235,276,257,252,252,241,237,236,242,253,252,257,252,237,242,237,237,242,242,242,246,242,254,238,233,233,247,242,242,247,233,258,237,233,255,252,247,247,252,236,237,242,237,247,252,246,247
64,255,250,250,240,235,234,239,250,250,255,250,235,239,235,257,257,252,277,257,237,236,242,236,252,257,252,252,242,236,237,242,241,241,247,242,233,238,232,255,247,241,242,246,233,233,238,232,272,252,247,268,242,236,237,242,247,246,252,247,237,242,237,237
68,256,250,250,240,235,235,240,250,250,255,250,234,240,235,257,257,252,276,242,237,236,242,253,252,257,252,237,242,236,237,246,242,242,238,232,232,237,242,264,247,242,233,237,233,233,252,247,272,242,236,259,242,247,247,251,247,237,241,237,237,255,249,249
72,255,250,250,240,235,234,240,250,251,255,235,235,240,235,275,258,252,261,242,237,237,258,252,253,242,237,237,241,242,242,247,233,232,238,232,242,246,242,264,238,233,233,252,247,247,252,236,261,241,247,269,253,247,237,242,236,249,254,250,249,248,243,244
76,255,250,250,239,235,235,255,250,250,255,235,235,239,252,274,257,236,260,242,236,252,257,252,237,242,236,242,247,242,241,238,232,233,247,242,242,246,233,254,238,247,247,252,237,237,242,236,272,252,247,259,241,237,249,254,249,249,248,243,243,254,249,249
80,255,250,250,240,234,234,255,250,250,240,235,235,257,253,274,241,236,260,241,252,252,257,237,237,241,242,242,247,232,233,238,242,241,247,241,233,238,232,269,252,247,236,241,236,247,252,247,262,241,236,259,254,249,249,247,243,243,254,249,249,248,243,242
84,255,250,250,240,234,234,255,250,250,240,234,235,257,252,274,241,237,261,257,252,253,242,237,236,246,242,241,238,232,232,246,242,242,237,233,233,252,247,269,242,237,236,252,247,247,242,237,262,254,249,271,248,243,243,254,249,249,248,243,243,251,246,246
88,255,250,234,239,235,250,255,250,234,239,235,252,257,252,259,241,237,276,257,252,236,241,237,242,247,242,233,238,232,242,247,232,232,238,247,246,252,236,258,242,247,247,251,237,237,242,249,274,254,243,265,248,249,249,254,242,243,248,246,246,250,241,240
92,255,250,234,239,235,250,255,250,234,240,234,252,257,237,258,242,252,276,257,236,237,242,242,242,247,232,233,247,242,242,237,233,232,252,247,247,241,237,269,252,247,237,241,237,249,254,249,268,247,243,271,254,243,243,248,246,246,251,241,241,245,246,245
96,255,250,235,240,234,250,255,234,235,239,252,252,257,237,258,257,252,276,242,237,237,247,241,233,238,233,242,247,242,233,238,247,247,252,236,237,241,247,247,242,236,237,254,249,249,248,243,249,254,249,265,248,243,246,251,241,240,246,246,245,251,241,241
100,255,250,235,239,235,250,255,235,234,240,251,251,242,236,258,257,252,260,242,237,242,247,241,232,237,242,242,247,232,233,251,247,247,242,237,247,251,247,259,242,249,249,254,243,243,248,249,274,248,243,265,251,246,240,246,241,246,250,241,241,246,251,251
104,255,250,235,240,250,250,255,234,235,257,252,252,242,237,274,257,252,261,241,242,242,247,233,233,247,241,242,237,232,247,252,237,237,241,246,247,241,236,258,254,250,243,248,243,249,254,243,268,248,245,268,246,240,241,251,246,240,246,241,251,256,242,242
108,255,250,234,240,250,250,255,234,234,257,252,236,242,237,274,257,237,261,247,242,241,237,233,242,247,242,232,238,246,246,241,237,237,252,247,237,241,249,271,254,243,243,253,248,248,248,243,271,251,240,263,246,246,245,246,241,251,256,251,242,246,251,251
112,255,250,235,240,250,250,240,234,234,257,252,237,241,264,270,242,237,261,246,242,233,238,242,242,247,232,232,252,247,237,242,247,247,252,236,236,254,249,265,248,243,249,254,243,242,251,246,266,246,241,268,251,241,241,256,251,251,247,242,251,256,242,241
116,255,250,235,239,250,250,240,235,252,258,252,237,241,252,274,242,237,266,247,233,233,238,242,241,238,232,247,252,236,237,252,247,247,242,236,249,254,243,264,254,249,243,248,243,246,251,240,266,251,246,263,245,251,251,256,242,241,256,251,242,246,249,249
120,255,250,234,239,250,250,239,234,252,257,237,237,257,252,258,241,237,266,247,233,233,247,242,232,237,247,247,242,237,247,252,236,236,241,249,249,248,243,271,254,242,243,251,246,240,246,246,271,251,241,263,256,250,242,247,251,251,247,242,249,254,238,238
124,255,250,235,240,250,250,240,234,252,257,237,237,258,252,259,242,242,266,237,233,242,247,232,233,252,247,236,242,247,247,242,237,237,255,250,243,248,249,271,248,242,246,251,241,241,251,245,266,245,252,273,247,242,252,256,242,242,254,249,239,244,249,249
128,254,235,235,255,250,235,240,252,252,241,237,252,257,237,258,247,241,256,237,241,242,237,232,247,252,236,236,252,247,237,242,249,249,248,243,249,254,243,265,250,246,241,246,246,246,246,241,276,256,242,264,256,251,242,247,249,249,243,239,249,254,239,239
132,255,235,234,255,250,234,240,252,252,242,236,252,257,237,259,246,241,256,238,242,242,237,232,247,252,236,236,252,247,236,242,249,242,247,249,249,247,243,267,251,241,241,250,245,240,246,251,275,246,241,273,256,241,241,254,249,238,244,249,249,243,238,257
136,255,235,235,255,250,234,239,252,252,241,236,252,257,236,258,246,232,256,247,242,233,238,247,247,242,237,247,252,237,236,254,242,243,254,249,242,248,246,267,246,241,246,250,241,240,256,251,267,256,251,263,247,249,249,243,239,248,253,238,238,262,258,251
140,255,235,234,255,250,235,240,252,252,241,252,252,242,236,263,247,232,256,247,242,233,252,247,237,242,247,247,242,237,249,255,243,249,255,242,243,250,246,263,245,246,246,245,251,251,247,241,276,256,242,263,254,249,239,254,249,238,243,257,257,256,251,257
144,255,234,234,255,250,234,239,252,236,241,252,252,241,236,264,238,232,265,246,233,233,252,246,237,252,246,237,242,249,249,248,249,249,248,243,246,250,241,263,251,240,241,256,251,242,247,251,267,247,249,271,244,238,249,254,239,257,262,251,251,262,257,251
148,255,235,234,255,250,234,257,252,237,242,252,252,241,242,263,237,233,266,247,232,246,252,237,237,252,237,237,254,249,243,247,249,242,248,245,246,245,240,268,246,241,251,256,242,251,256,242,267,253,249,261,254,249,239,243,257,257,256,257,257,256,251,253
152,255,234,235,255,250,234,257,252,237,242,252,236,241,241,264,237,242,266,238,233,247,242,236,246,252,236,249,254,243,243,254,243,243,250,246,240,245,246,263,246,251,252,247,251,251,247,242,273,243,238,271,254,239,257,262,251,251,262,251,251,258,253,247
156,255,235,234,255,234,235,257,252,237,257,252,237,242,242,255,238,241,266,237,247,246,241,247,247,242,237,249,248,243,249,253,242,245,251,240,240,251,241,262,256,251,242,255,251,242,254,249,264,244,249,261,243,257,257,256,257,257,256,251,253,252,247,253
160,255,235,234,255,235,234,257,237,237,257,252,236,246,241,255,247,241,257,238,246,237,242,247,237,242,249,249,248,249,249,248,246,245,246,240,246,246,241,273,247,242,251,256,242,250,254,239,274,254,239,261,262,251,251,262,251,251,258,253,247,259,254,248
164,255,235,235,255,235,235,258,237,237,257,237,236,247,242,255,247,242,257,252,247,237,252,247,237,254,249,243,247,249,243,248,246,240,245,246,241,245,251,273,247,251,251,247,249,249,244,249,274,244,257,279,256,251,257,256,251,253,252,247,253,252,247,245
168,255,234,234,255,235,235,257,236,236,257,236,237,247,232,254,247,232,257,252,237,237,252,237,237,254,243,242,254,243,243,250,241,241,251,246,241,256,251,264,256,251,242,254,249,239,254,249,263,262,257,273,262,257,251,258,253,247,259,253,247,250,245,241
172,256,235,250,255,235,252,257,237,252,257,236,241,247,232,263,247,232,271,251,236,247,252,236,249,254,243,249,254,243,246,251,240,246,251,240,251,256,242,273,256,242,249,254,239,249,254,239,282,262,251,279,262,251,253,259,247,254,258,247,245,249,241,244
176,255,235,250,255,234,252,257,237,252,257,236,242,247,232,264,238,233,270,241,236,247,242,237,248,248,243,249,248,243,246,246,246,245,245,251,251,247,251,273,247,249,249,244,249,249,243,257,276,255,257,273,256,253,247,251,253,247,252,245,241,245,245,240
180,255,234,250,255,235,252,257,237,252,242,237,242,238,232,264,237,232,271,242,247,247,241,249,249,248,250,249,248,246,240,246,246,240,246,251,242,256,251,264,254,249,239,255,249,239,262,251,276,262,251,273,258,247,247,258,247,245,250,241,245,249,241,247
184,255,235,250,255,235,252,242,236,252,241,237,242,237,241,263,238,247,270,242,247,236,241,249,242,248,249,243,251,246,241,251,241,241,256,242,241,256,242,271,254,238,249,254,239,257,256,251,283,256,251,275,252,253,253,252,245,244,246,245,241,245,247,240
188,255,235,250,255,234,252,241,237,253,242,242,242,238,242,255,238,246,260,242,247,237,254,249,242,254,243,243,250,241,246,251,240,251,256,242,252,247,242,271,243,249,249,243,257,251,256,257,276,257,253,269,258,253,247,250,240,241,250,241,247,252,240,247
192,255,234,250,240,235,252,241,253,253,242,242,232,238,241,255,252,247,260,252,237,237,254,243,250,254,243,246,245,241,246,246,251,251,246,251,242,247,249,260,254,249,239,262,251,251,262,252,279,259,246,275,252,247,245,245,245,245,245,247,241,245,247,241
196,255,235,250,239,234,252,241,252,252,242,242,233,238,242,255,252,237,261,252,236,249,254,243,249,248,242,246,246,246,245,246,251,241,256,251,242,254,239,261,254,239,257,262,251,258,257,251,279,252,254,269,252,245,240,250,245,240,252,241,241,252,241,252
200,255,235,250,240,235,252,242,252,237,242,241,233,246,242,255,252,237,271,252,236,249,248,242,249,247,246,240,246,246,240,256,242,242,256,242,250,254,239,271,243,257,257,256,257,251,255,253,272,259,247,269,249,241,244,250,240,247,246,247,248,246,252,237
204,255,234,250,239,234,252,242,252,237,241,241,232,246,232,255,252,236,271,241,237,249,248,249,243,248,245,241,251,241,240,256,242,251,247,242,248,243,249,261,244,257,251,262,251,251,258,247,278,252,247,267,245,245,241,246,247,240,252,241,241,257,237,252
208,255,234,250,240,252,251,242,252,237,246,242,232,246,232,268,241,237,271,242,249,243,247,249,243,251,241,241,250,241,251,247,251,251,247,249,239,254,249,261,262,251,257,262,251,253,252,253,272,252,244,263,250,241,241,252,241,247,246,241,252,242,252,237
212,255,235,249,240,251,252,241,251,237,246,232,232,246,232,268,242,247,271,241,248,243,254,242,242,250,240,246,245,251,251,246,251,242,253,248,239,254,239,279,256,250,257,256,252,246,258,252,272,249,240,266,246,241,247,245,247,240,256,252,236,256,236,249
216,255,235,250,240,252,236,242,252,236,247,232,242,247,233,269,242,247,260,254,249,243,254,243,245,246,241,246,246,251,242,256,242,242,254,238,249,244,257,279,255,258,252,258,247,247,258,247,270,246,244,262,246,247,241,251,241,252,258,236,252,242,250,235
220,255,235,250,240,252,236,257,252,237,247,232,242,238,247,269,241,247,260,253,243,249,254,243,245,245,246,240,256,251,242,256,242,249,243,249,249,244,257,273,262,251,253,258,247,253,252,245,266,250,245,262,252,240,247,246,252,252,241,252,237,255,234,250
224,255,235,250,239,252,237,257,236,236,247,233,242,238,246,259,252,247,261,254,243,249,248,245,241,245,245,241,256,241,251,247,250,249,244,249,238,262,251,279,256,251,254,252,253,246,250,240,270,250,240,269,246,247,241,257,237,236,257,237,250,240,250,234
228,255,234,250,240,252,236,257,236,241,247,233,242,237,247,259,252,236,273,254,243,249,248,246,240,251,241,251,256,242,251,247,249,239,254,239,257,262,251,279,256,253,247,258,247,245,250,241,270,245,247,263,252,241,252,257,236,252,242,250,234,255,235,248
232,255,234,250,240,252,237,257,236,242,238,233,242,238,246,258,252,237,273,248,249,243,247,246,241,250,241,251,246,251,242,254,239,239,254,239,257,256,257,273,258,247,253,258,247,244,246,244,265,252,241,269,246,252,252,242,252,236,255,234,250,240,246,237
236,255,235,249,239,252,237,256,236,242,237,242,232,237,247,259,252,237,273,248,249,242,251,241,245,246,240,251,247,251,242,254,239,249,243,257,250,262,250,272,258,246,253,252,245,240,249,241,271,246,247,263,246,252,236,257,237,250,239,250,235,252,236,247
240,255,234,250,239,252,236,257,236,242,237,242,232,252,236,268,242,236,273,247,249,243,250,240,246,246,251,242,256,241,249,244,249,249,243,257,251,262,251,276,252,253,247,249,240,244,245,247,266,246,247,262,257,237,252,242,250,234,255,234,247,242,247,237
