blocks,threads,reps,bandwidth
432,64,32768,1040.63
432,64,65536,991.848
432,64,131072,1061.31
432,64,262144,1018.07
432,128,2,1326.85
432,128,4,1565
432,128,8,1849.55
432,128,16,2001.15
432,128,32,1968.88
432,128,64,1937.62
432,128,128,1967.88
432,128,256,1973.35
432,128,512,1999.62
432,128,1024,1940.39
432,128,2048,1971.55
432,128,4096,1963.31
432,128,8192,1895.04
432,128,16384,1921.5
432,128,32768,1920.86
432,128,65536,1885.77
432,128,131072,1849.55
432,128,262144,1828.26
432,256,2,1743.86
432,256,4,2068.99
432,256,8,2179.83
432,256,16,2370.3
432,256,32,2423.23
432,256,64,2546.45
432,256,128,2559.8
432,256,256,2595.51
432,256,512,2598.54
432,256,1024,2609.17
432,256,2048,2591.96
432,256,4096,2603.19
432,256,8192,2594.65
432,256,16384,2588.11
432,256,32768,2573.94
432,256,65536,2550.36
432,256,131072,2551.92
432,256,262144,2539.89
432,512,2,1525.88
432,512,4,1907.35
432,512,8,2141.58
432,512,16,2504.01
432,512,32,2618.13
432,512,64,2697.69
432,512,128,2716.45
432,512,256,2769.41
432,512,512,2769.9
432,512,1024,2776.05
432,512,2048,2770.02
432,512,4096,2776.48
432,512,8192,2773.37
432,512,16384,2759.28
432,512,32768,2742.17
432,512,65536,2741.22
432,512,131072,2733.77
432,512,262144,2735.5
432,1024,2,1271.57
432,1024,4,2034.51
432,1024,8,2179.83
432,1024,16,2543.13
432,1024,32,2727.83
432,1024,64,2750.88
432,1024,128,2758.65
432,1024,256,2785.21
432,1024,512,2838.33
432,1024,1024,2812.53
432,1024,2048,2814.17
432,1024,4096,2793.67
432,1024,8192,2770.33
432,1024,16384,2740.79
432,1024,32768,2729.27
432,1024,65536,2725.09
432,1024,131072,2722.04
432,1024,262144,2721.97
864,32,2,897.576
864,32,4,1271.57
864,32,8,1140.84
864,32,16,1148.9
864,32,32,1113.53
864,32,64,1085.07
864,32,128,1043.61
864,32,256,1057.74
864,32,512,1070.06
864,32,1024,1086.28
864,32,2048,1102.41
864,32,4096,1110.88
864,32,8192,1112.18
864,32,16384,1075.57
864,32,32768,1065.8
864,32,65536,1016.71
864,32,131072,1044.33
864,32,262144,1029.1
864,64,2,1387.16
864,64,4,1695.42
864,64,8,1863.67
864,64,16,1922.37
864,64,32,1949.23
864,64,64,1992.98
864,64,128,1968.88
864,64,256,1973.85
864,64,512,2022.13
864,64,1024,1975.47
864,64,2048,1964.17
864,64,4096,1932.2
864,64,8192,1967.17
864,64,16384,1955.49
864,64,32768,1938.98
864,64,65536,1889.49
864,64,131072,1901.2
864,64,262144,1873.46
864,128,2,1695.42
864,128,4,2001.15
864,128,8,2141.58
864,128,16,2325.15
864,128,32,2429.26
864,128,64,2504.01
864,128,128,2548.11
864,128,256,2589.49
864,128,512,2590.35
864,128,1024,2610.26
864,128,2048,2613.09
864,128,4096,2622.08
864,128,8192,2583.23
864,128,16384,2587.75
864,128,32768,2565.39
864,128,65536,2564.5
864,128,131072,2550.94
864,128,262144,2549.65
864,256,2,1606.19
864,256,4,2001.15
864,256,8,2370.3
864,256,16,2441.41
864,256,32,2569.9
864,256,64,2679.18
864,256,128,2727.83
864,256,256,2754.76
864,256,512,2773.83
864,256,1024,2768.18
864,256,2048,2775.06
864,256,4096,2771.07
864,256,8192,2766.5
864,256,16384,2769.81
864,256,32768,2762.13
864,256,65536,2747.08
864,256,131072,2740.38
864,256,262144,2737.09
864,512,2,1196.77
864,512,4,1968.88
864,512,8,2239.82
864,512,16,2668.2
864,512,32,2705.16
864,512,64,2750.88
864,512,128,2798.17
864,512,256,2785.21
864,512,512,2791.67
864,512,1024,2822.18
864,512,2048,2804.58
864,512,4096,2813.6
864,512,8192,2792.58
864,512,16384,2759.87
864,512,32768,2738.68
864,512,65536,2732.31
864,512,131072,2722.6
864,512,262144,2724.8
864,1024,2,1070.79
864,1024,4,1672.2
864,1024,8,2104.66
864,1024,16,2478.59
864,1024,32,2646.51
864,1024,64,2747.01
864,1024,128,2739.31
864,1024,256,2729.73
864,1024,512,2781.73
864,1024,1024,2780
864,1024,2048,2798.3
864,1024,4096,2758.59
864,1024,8192,2735.83
864,1024,16384,2714.75
