4,68,68,68,68,68,68,68,240,68,68,68,68,68,68,68,240,68,68,68,68,68,68,68,241,68,68,68,68,68,68,68,240,68,68,68,68,68,68,68,241,68,68,68,68,68,68,68,240,68,68,68,68,68,68,68,240,68,68,68,68,68,68,68
8,68,68,68,240,68,68,68,240,68,68,68,239,68,68,68,240,68,68,68,239,68,68,68,241,68,68,68,239,68,68,68,238,68,68,68,238,68,68,68,237,68,68,68,238,68,68,68,237,68,68,68,237,68,68,68,237,68,68,68,238,68,68,68
12,68,68,240,68,68,239,68,239,68,68,240,68,68,239,68,241,68,68,239,68,68,237,68,237,68,68,238,68,68,238,68,237,68,68,237,68,68,238,68,238,68,68,240,68,68,239,68,241,68,68,240,68,68,241,68,239,68,68,241,68,68,239,68
16,68,240,68,241,68,239,68,241,68,239,68,240,68,239,68,237,68,238,68,237,68,237,68,238,68,237,68,238,68,237,68,240,68,239,68,240,68,240,68,240,68,240,68,239,68,239,68,238,68,237,68,238,68,236,68,237,68,236,68,238,68,237,68
20,68,241,68,240,241,68,239,240,68,239,68,241,238,68,238,238,68,237,68,237,238,68,237,237,68,240,68,240,240,68,239,239,68,240,68,240,240,68,237,237,68,237,68,236,237,68,237,237,68,238,68,242,240,68,242,239,68,242,68,239,242,68,239
24,68,241,240,241,68,239,240,239,68,241,238,237,68,237,238,237,68,237,237,237,68,239,240,240,68,240,240,240,68,240,240,237,68,237,237,237,68,237,238,238,68,238,241,239,68,241,239,242,68,239,242,239,68,243,240,242,68,240,243,239,68,242,239
28,68,240,239,240,239,240,239,241,68,237,236,238,237,237,238,238,68,237,239,240,238,240,239,240,68,239,241,237,237,237,237,237,68,237,237,237,241,240,241,239,68,241,239,241,239,242,239,242,68,239,242,239,243,239,241,239,68,241,239,241,239,241,239
32,240,240,239,240,239,240,239,238,237,237,237,238,237,237,236,240,238,241,239,240,239,239,238,238,237,236,237,237,237,238,237,241,240,241,239,241,239,241,239,242,240,243,239,242,239,242,239,241,239,241,239,240,239,241,239,242,240,242,239,242,239,242,239
36,240,239,240,239,241,239,240,237,237,237,237,236,237,237,238,240,239,240,239,240,239,237,237,237,237,237,236,237,240,242,240,241,239,241,239,242,239,242,239,242,239,242,241,239,241,239,241,239,240,239,242,239,242,239,242,239,239,240,238,240,239,240,239
40,240,240,239,240,239,239,236,237,238,237,237,237,239,241,239,240,239,241,239,237,238,237,236,237,237,242,239,241,239,241,239,242,239,243,239,243,240,242,241,239,241,239,242,239,239,242,239,243,238,242,240,239,241,240,240,239,240,239,239,239,238,239,239
44,239,241,239,240,239,237,237,237,237,237,237,240,239,240,239,239,239,238,236,237,237,237,237,241,239,241,239,241,239,239,242,239,242,239,241,238,241,239,241,238,242,238,242,239,242,239,242,240,240,239,241,239,239,239,239,239,239,238,239,238,240,239,241
48,241,240,240,239,240,237,237,238,237,237,239,239,239,240,240,237,236,237,237,237,238,239,243,239,241,239,239,243,239,242,239,241,239,241,239,242,238,242,240,242,239,242,239,241,239,240,239,239,240,239,239,239,239,240,239,240,239,240,239,239,239,240,238
