threads,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144
32,26.0666,25.5057,25.6566,26.3434,25.8427,25.7239,26.3544,25.7486,25.6569,26.4753,26.0156,25.7334,26.4697,26.0934,25.6754,26.6433,25.9921,25.751
64,27.1292,27.5346,27.8122,27.9613,27.9589,28.0265,28.0696,28.0339,28.0451,28.0955,27.9995,28.0552,28.0623,28.0763,28.0279,28.0764,27.9935,28.0349
128,51.5954,54.1939,53.2119,56.489,57.27,55.4254,57.8962,56.4155,57.1574,57.5427,56.6066,57.877,58.2044,57.2969,58.5655,58.7774,56.7831,59.5154
256,59.3757,62.4296,64.3948,66.1062,67.3946,64.6537,64.1625,65.5562,66.4501,66.4134,65.8445,64.9819,65.2097,64.3622,66.5845,66.5459,66.5848,67.8554
512,35.1703,56.5645,72.1754,69.257,71.1335,72.3583,71.3621,72.2639,72.1929,71.5289,71.9775,72.2005,72.1107,72.8646,72.1096,72.4337,72.2036,72.0437
1024,117.86,126.86,132.203,138.614,139.887,141.276,141.735,141.831,142.059,142.033,142.207,142.223,142.215,142.235,142.24,142.241,142.241,142.241
