blocks,threads,reps,bandwidth
432,64,64,2127.59
432,64,128,2206.92
432,64,256,2227.05
432,64,512,2259.91
432,64,1024,2282.69
432,64,2048,2277.12
432,64,4096,2253.1
432,64,8192,2266.83
432,64,16384,2266.21
432,64,32768,2260.61
432,64,65536,2267.16
432,64,131072,2253.96
432,64,262144,2246.22
432,128,2,1387.16
432,128,4,1470.73
432,128,8,1649.6
432,128,16,1842.57
432,128,32,2051.6
432,128,64,2151.02
432,128,128,2224.52
432,128,256,2255.34
432,128,512,2270.75
432,128,1024,2296.27
432,128,2048,2275.54
432,128,4096,2278.49
432,128,8192,2270.02
432,128,16384,2251.46
432,128,32768,2258.45
432,128,65536,2248.74
432,128,131072,2243.98
432,128,262144,2235.44
432,256,2,1606.19
432,256,4,1878
432,256,8,2034.51
432,256,16,2179.83
432,256,32,2244.97
432,256,64,2308.66
432,256,128,2357.42
432,256,256,2358.13
432,256,512,2365.63
432,256,1024,2355.29
432,256,2048,2337.67
432,256,4096,2282.15
432,256,8192,2274.71
432,256,16384,2259.53
432,256,32768,2248.55
432,256,65536,2231.76
432,256,131072,2230.27
432,256,262144,2224.66
432,512,2,1795.15
432,512,4,2068.99
432,512,8,2199.47
432,512,16,2281.69
432,512,32,2330.7
432,512,64,2353.16
432,512,128,2371.74
432,512,256,2395.74
432,512,512,2347.51
432,512,1024,2327.23
432,512,2048,2302.87
432,512,4096,2277.28
432,512,8192,2240.24
432,512,16384,2238.27
432,512,32768,2224.31
432,512,65536,2221.83
432,512,131072,2213.56
432,512,262144,2211.18
432,1024,2,1849.55
432,1024,4,2001.15
432,1024,8,2141.58
432,1024,16,2271.08
432,1024,32,2325.15
432,1024,64,2367.42
432,1024,128,2367.42
432,1024,256,2346.1
432,1024,512,2370.66
432,1024,1024,2339.25
432,1024,2048,2302.96
432,1024,4096,2275.87
432,1024,8192,2213.64
432,1024,16384,2195.57
432,1024,32768,2178.97
432,1024,65536,2184.46
432,1024,131072,2184.48
432,1024,262144,2182.43
864,32,2,1387.16
864,32,4,1507.04
864,32,8,1683.73
864,32,16,1899.93
864,32,32,2047.3
864,32,64,2153.39
864,32,128,2241.11
864,32,256,2268.44
864,32,512,2292.06
864,32,1024,2277.2
864,32,2048,2264.66
864,32,4096,2268.73
864,32,8192,2272.33
864,32,16384,2251.77
864,32,32768,2253.73
864,32,65536,2252.53
864,32,131072,2242.73
864,32,262144,2239.48
864,64,2,1356.34
864,64,4,1453.22
864,64,8,1616.83
864,64,16,1849.55
864,64,32,2034.51
864,64,64,2134.56
864,64,128,2201.94
864,64,256,2235.98
864,64,512,2269.76
864,64,1024,2260.4
864,64,2048,2238.46
864,64,4096,2236.74
864,64,8192,2241.85
864,64,16384,2244.98
864,64,32768,2237.29
864,64,65536,2245.24
864,64,131072,2236.61
864,64,262144,2233.65
864,128,2,1695.42
864,128,4,1907.35
864,128,8,2068.99
864,128,16,2179.83
864,128,32,2239.82
864,128,64,2303.21
864,128,128,2333.48
864,128,256,2356.71
864,128,512,2369.58
864,128,1024,2358.85
864,128,2048,2342.14
864,128,4096,2290.17
864,128,8192,2262.12
864,128,16384,2254
864,128,32768,2242.68
864,128,65536,2232.79
864,128,131072,2226.06
864,128,262144,2215.93
864,256,2,1849.55
864,256,4,2068.99
864,256,8,2239.82
864,256,16,2325.15
864,256,32,2358.85
864,256,64,2378.96
864,256,128,2397.94
864,256,256,2409.78
864,256,512,2416.11
864,256,1024,2376.79
864,256,2048,2356.98
864,256,4096,2293.33
864,256,8192,2262.46
864,256,16384,2242.57
864,256,32768,2234.57
864,256,65536,2227.03
864,256,131072,2215.81
864,256,262144,2210.9
864,512,2,1907.35
864,512,4,2104.66
864,512,8,2281.69
864,512,16,2325.15
864,512,32,2405.33
864,512,64,2402.37
864,512,128,2412.75
864,512,256,2435.32
864,512,512,2442.55
864,512,1024,2384.95
864,512,2048,2383.22
864,512,4096,2306.78
864,512,8192,2258.44
864,512,16384,2262.69
864,512,32768,2215.83
864,512,65536,2215.56
864,512,131072,2199.96
864,512,262144,2192.9
864,1024,2,1907.35
864,1024,4,2104.66
864,1024,8,2199.47
864,1024,16,2250.14
864,1024,32,2319.63
864,1024,64,2350.33
864,1024,128,2368.86
864,1024,256,2373.18
864,1024,512,2427
864,1024,1024,2383.86
864,1024,2048,2315.5
864,1024,4096,2244.25
864,1024,8192,2164.48
864,1024,16384,2156.03
864,1024,32768,2129.14
864,1024,65536,2139.53
864,1024,131072,2138.11
864,1024,262144,2136.87
1728,32,2,1419.42
1728,32,4,1525.88
1728,32,8,1719.3
1728,32,16,1885.26
1728,32,32,2077.79
1728,32,64,2187.15
1728,32,128,2256.64
1728,32,256,2265.15
1728,32,512,2287.37
1728,32,1024,2243.52
1728,32,2048,2228.64
1728,32,4096,2232.82
1728,32,8192,2231.66
1728,32,16384,2217.59
1728,32,32768,2216.19
1728,32,65536,2222.31
1728,32,131072,2218.74
1728,32,262144,2215.75
1728,64,2,1649.6
1728,64,4,1907.35
1728,64,8,2017.69
1728,64,16,2160.54
1728,64,32,2229.59
1728,64,64,2271.08
1728,64,128,2307.29
1728,64,256,2314.81
1728,64,512,2344.34
1728,64,1024,2357.78
1728,64,2048,2357.16
1728,64,4096,2303.77
1728,64,8192,2290.49
1728,64,16384,2277.12
1728,64,32768,2275.38
1728,64,65536,2267.19
1728,64,131072,2248.33
1728,64,262144,2237.21
1728,128,2,1795.15
1728,128,4,2068.99
1728,128,8,2219.46
1728,128,16,2303.21
1728,128,32,2358.85
1728,128,64,2384.77
1728,128,128,2393.54
1728,128,256,2404.59
1728,128,512,2414.99
1728,128,1024,2421.35
1728,128,2048,2394.36
1728,128,4096,2346.89
1728,128,8192,2292.17
1728,128,16384,2261.57
1728,128,32768,2243.16
1728,128,65536,2227.36
1728,128,131072,2218.85
1728,128,262144,2206.91
1728,256,2,1968.88
1728,256,4,2141.58
1728,256,8,2325.15
1728,256,16,2405.33
1728,256,32,2435.32
1728,256,64,2447.52
1728,256,128,2420.23
1728,256,256,2406.81
1728,256,512,2414.62
1728,256,1024,2440.07
1728,256,2048,2398.68
1728,256,4096,2363.26
1728,256,8192,2350.07
1728,256,16384,2322.29
1728,256,32768,2310.82
1728,256,65536,2299.28
1728,256,131072,2292.88
1728,256,262144,2282.18
1728,512,2,1907.35
1728,512,4,2179.83
1728,512,8,2260.56
1728,512,16,2347.51
1728,512,32,2376.06
1728,512,64,2414.25
1728,512,128,2386.22
1728,512,256,2381.13
1728,512,512,2445.99
1728,512,1024,2472.7
1728,512,2048,2442.74
1728,512,4096,2363.08
1728,512,8192,2325.43
1728,512,16384,2263.09
1728,512,32768,2246.67
1728,512,65536,2243.66
1728,512,131072,2237.68
1728,512,262144,2230.67
1728,1024,2,1907.35
1728,1024,4,2104.66
1728,1024,8,2199.47
1728,1024,16,2219.46
1728,1024,32,2209.42
1728,1024,64,2165.33
1728,1024,128,2147.47
1728,1024,256,2255.34
1728,1024,512,2307.29
1728,1024,1024,2298.64
1728,1024,2048,2242.23
1728,1024,4096,2215.13
1728,1024,8192,2198.36
1728,1024,16384,2143.18
1728,1024,32768,2136.39
1728,1024,65536,2109.15
1728,1024,131072,2107.21
1728,1024,262144,2108.48
3456,32,2,1565
3456,32,4,1878
3456,32,8,2051.6
3456,32,16,2160.54
3456,32,32,2219.46
3456,32,64,2219.46
3456,32,128,2243.68
3456,32,256,2227.69
3456,32,512,2233.42
3456,32,1024,2239.98
3456,32,2048,2252.74
3456,32,4096,2234.9
3456,32,8192,2224.2
3456,32,16384,2225
3456,32,32768,2244.29
3456,32,65536,2249.57
3456,32,131072,2256.58
3456,32,262144,2245.78
3456,64,2,1795.15
3456,64,4,2068.99
3456,64,8,2179.83
3456,64,16,2281.69
3456,64,32,2336.27
3456,64,64,2376.06
3456,64,128,2358.85
3456,64,256,2371.02
3456,64,512,2382.59
3456,64,1024,2384.4
3456,64,2048,2386.5
3456,64,4096,2354.09
3456,64,8192,2348.87
3456,64,16384,2287.3
3456,64,32768,2242.84
3456,64,65536,2235.02
3456,64,131072,2227.06
3456,64,262144,2214.75
3456,128,2,1907.35
3456,128,4,2179.83
3456,128,8,2347.51
3456,128,16,2393.54
3456,128,32,2429.26
3456,128,64,2408.29
3456,128,128,2409.78
3456,128,256,2397.21
3456,128,512,2392.07
3456,128,1024,2385.31
3456,128,2048,2401.44
3456,128,4096,2374.62
3456,128,8192,2367.07
3456,128,16384,2334.77
3456,128,32768,2329.78
3456,128,65536,2299.95
3456,128,131072,2258.09
3456,128,262144,2252.66
3456,256,2,1907.35
3456,256,4,2179.83
3456,256,8,2325.15
3456,256,16,2381.86
3456,256,32,2376.06
3456,256,64,2327.92
3456,256,128,2299.15
3456,256,256,2283.69
3456,256,512,2256.32
3456,256,1024,2349.09
3456,256,2048,2315.5
3456,256,4096,2280.52
3456,256,8192,2261.26
3456,256,16384,2240.01
3456,256,32768,2246.72
3456,256,65536,2238.97
3456,256,131072,2233.82
3456,256,262144,2231.13
3456,512,2,1907.35
3456,512,4,2179.83
3456,512,8,2199.47
3456,512,16,2271.08
3456,512,32,2276.37
3456,512,64,2170.14
3456,512,128,2162.93
3456,512,256,2046.76
3456,512,512,2163.23
3456,512,1024,2218.83
3456,512,2048,2223.8
3456,512,4096,2155.17
3456,512,8192,2177.23
3456,512,16384,2146.02
3456,512,32768,2160.95
3456,512,65536,2147.01
3456,512,131072,2128.82
3456,512,262144,2123.04
3456,1024,2,1488.66
3456,1024,4,1606.19
3456,1024,8,1695.42
3456,1024,16,1683.73
3456,1024,32,1666.49
3456,1024,64,1656.59
3456,1024,128,1614.82
3456,1024,256,1619.51
3456,1024,512,1684.64
3456,1024,1024,1795.87
3456,1024,2048,1945.22
3456,1024,4096,2009.84
3456,1024,8192,1943.11
3456,1024,16384,1999.18
3456,1024,32768,1995.85
3456,1024,65536,1966.9
3456,1024,131072,1969.48
3456,1024,262144,1968.95
