4,1023,92,92,92,92,92,92,92,257,92,92,92,92,92,92,92,257,92,92,92,92,92,92,92,257,92,92,92,92,92,92,92,256,92,92,92,92,92,92,92,257,92,92,92,92,92,92,92,256,92,92,92,92,92,92,92,257,92,92,92,92,92,92,92
8,1048,92,92,92,258,92,92,92,258,92,92,92,257,92,92,92,258,92,92,92,258,92,92,92,258,92,92,92,258,92,92,92,256,92,92,92,256,92,92,92,255,92,92,92,256,92,92,92,256,92,92,92,256,92,92,92,256,92,92,92,256,92,92,92
12,1047,92,92,257,92,92,258,92,257,92,92,258,92,92,257,92,258,92,92,257,92,92,255,92,255,92,92,256,92,92,255,92,255,92,92,256,92,92,256,92,257,92,92,259,92,92,258,92,258,92,92,258,92,92,258,92,259,92,92,258,92,92,259,92
16,1067,92,258,92,258,92,258,92,258,92,258,92,258,92,258,92,256,92,257,92,257,92,257,92,256,92,256,92,256,92,256,92,258,92,259,92,258,92,258,92,259,92,258,92,258,92,258,92,256,92,257,92,256,92,256,92,256,92,256,92,257,92,256,92
20,1038,92,258,92,257,257,92,257,258,92,258,92,257,256,92,255,256,92,256,92,256,255,92,257,255,92,258,92,258,259,92,259,258,92,259,92,258,258,92,255,257,92,256,92,255,256,92,256,255,92,256,92,257,256,92,255,256,92,256,92,256,256,92,256
24,1044,92,259,258,258,92,258,258,258,92,259,256,256,92,256,256,255,92,255,256,256,92,258,258,258,92,258,257,258,92,257,258,257,92,257,256,257,92,256,257,256,92,257,257,256,92,257,257,256,92,256,256,256,92,253,252,252,92,252,253,251,92,251,253
28,1054,92,258,257,258,258,257,258,258,92,256,256,257,256,256,256,256,92,256,258,258,258,258,258,257,92,258,259,257,256,257,256,256,92,256,257,256,256,257,256,257,92,256,256,255,256,252,251,251,92,252,251,252,252,251,256,256,92,256,256,257,257,256,257
32,1048,258,258,258,258,257,258,258,256,255,256,256,256,255,256,256,258,258,258,257,257,258,257,259,255,255,255,255,256,256,256,256,256,256,255,256,255,256,256,255,252,251,251,251,252,252,251,252,256,257,256,256,256,257,256,255,251,252,252,252,251,252,251,252
36,1060,257,258,259,259,258,258,258,255,255,255,255,256,257,256,258,259,258,258,258,259,258,256,256,256,256,256,256,256,256,256,257,256,257,256,256,252,252,252,252,252,252,251,255,255,256,256,256,256,256,252,251,251,251,251,251,252,255,255,255,254,254,255,255
40,1064,258,258,258,259,258,258,256,256,256,257,256,256,259,258,258,259,258,258,259,256,256,257,256,257,256,257,256,257,256,256,257,252,251,251,252,252,252,252,256,255,255,256,256,256,252,252,251,252,252,252,252,255,255,256,255,255,256,251,251,251,252,252,250
44,1064,258,259,259,258,257,256,255,255,256,256,256,258,258,258,258,257,258,256,256,256,256,257,256,255,256,255,256,256,256,252,251,252,252,251,256,256,256,256,255,255,251,252,251,251,251,252,255,256,255,254,255,255,251,252,252,252,251,252,255,254,254,255,255
