64,726,110,110,109,257,110,109,109,255,110,110,109,256,110,110,109,247,110,110,109,251,110,110,109,247,110,110,109,250,110,110,109,247,110,110,109,252,110,110,109,247,110,110,109,251,110,110,115
68,726,110,110,109,256,110,109,109,254,110,110,109,257,110,110,109,247,110,110,250,110,110,110,246,110,110,110,250,110,110,110,246,110,110,251,109,110,110,248,109,110,110,252,109,110,110,251,115
72,724,110,110,109,257,110,109,109,254,110,110,254,110,110,110,247,110,110,251,109,110,110,247,109,110,252,110,109,110,247,110,109,252,110,110,109,247,110,110,109,252,110,110,251,110,110,110,259
76,745,110,110,109,257,110,109,253,110,110,110,256,110,110,247,109,110,251,110,109,110,248,110,109,250,110,110,247,110,110,110,250,110,110,248,109,110,110,252,109,110,251,110,109,253,110,110,115
80,742,110,110,109,257,110,109,254,110,110,257,109,110,248,110,109,250,110,110,109,247,110,110,250,110,110,247,109,110,251,110,109,247,110,110,109,251,110,110,250,110,110,254,109,110,252,110,115
84,725,110,110,109,257,110,109,253,110,110,258,109,110,246,110,109,250,110,110,246,110,110,251,109,110,247,110,109,252,110,110,247,110,110,252,109,110,252,110,109,252,110,110,251,110,110,254,115
88,728,110,110,255,110,110,254,109,110,258,110,109,247,110,110,250,110,110,248,109,110,251,110,109,247,110,110,250,110,110,248,109,252,110,110,251,110,110,254,109,110,253,110,109,254,110,110,256
92,730,110,110,256,110,110,254,109,110,257,110,109,247,110,251,109,110,248,110,109,250,110,110,245,110,110,251,109,247,110,110,251,110,110,251,109,110,253,110,250,110,110,253,109,110,252,110,115
96,726,110,110,256,110,110,254,109,258,110,110,246,110,110,251,109,248,110,110,249,110,110,247,109,253,110,110,246,110,110,252,109,251,110,110,253,110,110,251,109,254,110,110,251,110,110,248,115
100,718,110,110,257,110,110,253,109,257,110,110,246,110,251,110,109,247,110,250,109,110,248,110,109,252,110,248,109,110,252,110,251,110,110,254,109,252,110,110,253,110,252,110,109,248,110,110,257
104,711,110,110,257,110,256,109,109,258,110,248,109,110,251,110,246,110,110,252,109,248,110,110,252,110,248,110,109,252,110,252,109,255,110,110,252,110,255,110,109,253,110,249,109,110,253,110,253
108,712,110,110,257,110,256,109,109,259,110,248,109,251,110,110,247,110,251,110,248,110,110,253,109,249,110,110,252,110,254,110,255,110,110,253,109,256,110,253,109,110,249,110,251,110,110,249,115
112,710,110,110,256,110,255,109,256,110,110,249,109,252,110,249,109,253,110,110,248,110,253,110,247,110,110,252,109,252,110,256,109,253,110,110,254,110,253,110,248,110,110,252,109,248,110,255,115
116,705,110,110,256,110,255,109,256,110,248,110,109,251,110,248,109,252,110,248,109,252,110,110,247,110,253,110,252,110,255,110,252,110,110,254,109,252,110,249,109,252,110,249,109,110,254,110,258
120,720,110,110,256,110,254,109,256,110,248,110,250,110,248,110,251,110,110,247,109,252,110,248,109,252,110,252,109,254,110,252,109,254,110,110,251,110,248,110,252,110,248,110,254,110,252,110,259
