4,260,540,416,260,260,260,616,260,260,260,260,460,452,260,260,260,260,260,708,260,260,260,324,920,260,260,260,308,260,260,260
8,276,556,440,276,276,556,276,372,276,276,276,276,616,276,560,276,276,280,276,276,276,276,364,936,276,276,276,292,276,276,276
12,544,940,244,244,556,268,244,572,268,528,244,268,1036,244,244,268,244,244,712,244,244,244,304,900,268,268,244,324,244,244,244
16,1384,552,884,512,516,552,660,232,232,272,272,448,428,272,232,232,272,288,232,232,272,272,500,232,272,272,232,340,232,272,272
20,860,240,1000,548,660,524,548,240,240,936,252,252,664,524,264,240,264,292,544,252,264,240,316,900,264,264,252,320,264,240,240
24,476,968,548,524,232,552,552,264,524,264,556,556,316,524,276,556,264,300,276,232,232,232,304,932,232,264,276,296,276,232,232
28,544,940,892,276,256,932,664,564,256,532,244,584,608,244,540,564,256,308,564,276,276,532,244,888,276,256,244,320,256,276,276
32,844,960,544,556,660,832,236,428,552,552,552,264,1260,236,524,564,544,264,300,276,236,560,276,1036,236,276,264,308,524,236,236
36,888,948,872,584,532,248,564,588,956,260,564,532,660,584,564,248,532,280,304,280,276,536,540,528,260,544,248,280,364,260,248
40,852,984,548,956,564,668,844,560,532,560,532,240,560,560,280,560,272,548,272,280,532,272,272,548,568,240,244,280,244,560,272
44,944,940,660,864,520,256,528,896,236,548,524,552,528,592,236,544,528,244,256,268,556,676,592,524,268,284,596,284,244,1536,676
48,708,936,968,664,876,268,552,568,872,972,832,668,560,584,568,268,280,516,560,248,516,516,660,484,548,236,248,548,260,548,552
52,940,852,888,604,856,524,656,232,932,516,552,548,520,252,552,548,264,588,540,512,980,552,540,524,560,520,240,552,592,272,280
56,984,560,820,572,844,1188,660,564,544,872,560,532,896,236,564,528,564,668,544,564,272,576,532,564,544,244,532,576,524,564,240
60,544,1300,256,868,928,540,872,564,540,972,884,528,1076,580,532,528,564,528,580,560,572,532,556,1208,528,272,580,552,560,628,532
64,836,512,784,1272,968,1040,564,896,672,812,544,660,524,660,524,536,544,560,568,560,568,560,568,528,540,528,536,524,568,536,536
68,932,548,896,544,592,880,844,968,592,540,592,876,676,564,572,608,544,1316,972,980,564,548,576,540,576,564,572,560,540,568,564
72,836,988,804,840,1000,564,988,580,536,532,512,532,1048,564,852,532,560,548,564,528,564,528,556,912,520,560,580,556,520,564,548
76,944,948,540,1332,568,1644,964,840,552,856,528,572,612,540,552,540,540,540,572,540,528,580,896,568,572,580,568,580,528,540,584
80,544,1232,816,520,824,968,524,868,556,884,524,556,1012,564,560,552,988,536,592,712,564,1696,672,528,596,572,568,556,540,564,528
84,892,968,940,980,536,964,576,840,528,568,1540,524,692,576,872,548,568,864,576,536,568,536,540,536,536,536,548,748,560,560,568
88,964,976,968,812,544,532,816,552,920,860,552,516,1904,548,588,892,656,884,568,556,516,516,548,1256,516,556,552,588,560,568,568
92,832,884,848,956,872,568,572,540,896,540,884,552,540,580,844,572,932,576,1436,608,580,552,576,532,568,552,528,540,532,840,528
96,540,992,856,896,612,860,848,564,804,840,1004,676,560,532,960,524,560,880,552,564,584,536,552,1528,560,564,532,532,560,560,524
100,856,916,820,804,500,872,924,896,924,808,512,552,1004,552,528,524,512,528,596,672,524,544,504,552,548,540,524,548,616,544,504
104,1196,1048,1004,1032,1036,564,808,584,896,804,584,964,848,552,564,996,568,572,536,1004,568,564,568,564,536,596,564,572,568,528,536
108,916,956,944,832,672,528,848,852,872,920,828,516,764,820,548,1256,836,544,1196,520,516,656,540,516,548,520,504,556,632,544,552
112,700,924,968,672,900,1320,980,1012,796,928,816,900,580,584,536,1324,524,520,836,560,1464,676,596,1152,592,564,540,860,556,552,524
116,932,972,892,992,1028,532,868,536,532,876,940,532,548,844,1616,836,536,564,864,524,536,564,572,848,536,564,564,968,1008,572,560
120,696,880,816,976,832,1012,832,832,1016,552,892,980,968,1028,548,828,540,552,572,868,576,584,572,592,528,564,560,524,588,568,524
124,540,832,844,884,944,1652,888,568,576,1520,668,956,524,884,540,552,540,548,528,832,560,548,580,580,528,556,552,568,596,576,576
128,1272,892,804,800,1476,560,1456,1000,560,1032,1384,988,560,612,528,852,532,580,592,984,664,840,844,964,536,536,552,568,524,1312,560
132,876,1656,828,676,868,672,824,940,908,1220,536,1540,532,820,824,936,748,860,536,560,968,548,560,520,532,532,520,512,556,900,660
136,872,932,816,872,868,980,672,996,984,560,1036,560,1332,888,1468,536,528,564,564,524,564,844,1544,584,532,1000,836,552,920,800,592
140,840,964,876,932,660,1492,800,820,1104,840,548,924,832,844,544,564,836,660,572,500,1244,532,844,928,532,536,512,548,928,516,524
144,848,564,824,820,1000,820,1368,1012,972,552,856,812,836,572,560,568,536,968,568,860,664,828,568,572,580,668,552,976,540,748,900
148,864,948,996,852,1032,568,940,1580,940,956,556,536,1024,568,524,864,948,952,544,572,984,660,860,548,556,556,1008,860,584,528,740
152,816,936,896,532,508,556,1644,960,564,532,552,536,612,1420,832,860,556,972,564,532,532,988,524,568,544,988,532,560,956,564,564
156,972,932,928,868,852,1376,836,1208,596,872,604,940,584,892,1576,840,672,556,880,960,852,540,848,972,540,544,564,536,580,568,528
160,848,976,884,824,568,1000,1004,576,548,536,808,556,1336,1008,816,992,960,536,972,540,896,856,860,576,1036,588,556,536,804,844,512
164,944,1188,856,820,992,940,516,956,924,524,1404,560,624,920,524,1080,956,660,540,548,520,1488,828,832,552,876,840,564,552,568,912
168,852,812,800,804,980,860,796,544,868,980,876,984,844,952,1404,948,852,1008,536,532,520,552,788,568,544,544,944,536,572,908,544
172,828,924,848,920,548,840,1756,968,956,852,952,936,1308,848,864,1016,848,840,936,520,520,532,516,1720,552,524,976,516,512,540,532
176,824,1092,888,836,908,988,832,568,980,848,560,980,1008,540,532,1172,568,828,884,840,1020,580,548,1304,796,540,552,992,552,628,896
180,852,924,816,948,916,912,840,868,924,512,1096,548,1692,1188,524,508,836,556,812,544,536,508,548,852,520,516,516,544,664,508,880
184,900,876,836,888,828,992,988,548,976,852,988,1756,572,828,536,576,1176,828,980,932,1028,576,800,588,560,832,544,524,960,1524,840
188,864,964,816,520,924,932,952,816,564,520,528,848,904,556,536,912,1272,864,504,556,888,556,860,936,864,944,536,828,540,848,504
192,1232,1040,1008,1012,820,592,1576,868,828,1388,856,900,572,560,912,808,968,992,572,556,976,548,532,884,848,1040,984,836,596,844,816
196,828,936,936,1532,532,944,536,564,964,964,888,940,548,864,540,856,828,568,516,528,520,564,576,872,924,908,1008,868,556,652,532
200,964,936,572,864,932,1576,984,568,1500,996,808,1004,552,528,1036,1396,896,912,1648,808,1256,856,560,820,848,972,552,984,572,1008,1196
204,1444,836,1412,884,856,516,824,868,936,928,828,840,1168,936,556,560,920,852,960,520,560,936,972,1068,840,576,548,908,872,856,1252
208,968,916,956,836,920,796,788,836,804,948,512,968,1104,536,512,956,804,908,1388,536,876,776,864,504,484,996,804,812,512,540,936
212,844,888,844,836,920,920,1468,504,856,936,924,876,940,832,832,868,564,552,524,844,804,960,820,508,1552,848,908,928,976,500,844
216,560,816,1568,1496,892,824,812,1264,988,848,828,864,1444,872,972,804,532,532,568,980,480,828,568,536,1016,900,836,524,564,560,892
220,824,1620,984,876,852,856,868,804,812,856,896,948,828,944,1324,1012,928,908,932,864,1364,940,856,896,520,516,548,832,532,504,824
224,1312,812,1108,1404,1160,960,984,884,868,1164,556,872,532,808,872,1008,1032,548,980,576,820,820,848,1508,544,892,532,832,984,524,956
228,964,872,920,1304,868,1404,848,536,836,1532,948,868,940,840,1400,880,964,536,836,824,888,828,532,1000,828,928,836,948,944,868,880
232,1060,784,988,908,868,544,800,524,948,600,944,884,772,972,960,832,540,960,536,880,968,1156,784,856,512,960,936,788,820,824,968
236,940,860,832,972,552,836,836,888,1028,840,852,516,848,904,948,548,876,1196,524,552,848,868,856,936,548,920,844,884,980,520,840
240,952,840,780,880,800,968,832,804,812,864,872,796,852,808,968,1428,944,816,960,540,860,968,792,984,528,1000,1460,828,1196,1008,956
244,848,932,1208,860,924,520,936,884,980,900,844,772,520,932,940,868,820,844,836,552,964,900,512,916,1148,524,852,828,940,916,1428
248,956,928,492,792,1252,516,800,804,916,852,824,1012,1196,1000,964,860,804,876,548,548,812,972,860,500,816,960,864,876,516,736,548
