4,140,540,140,164,140,252,140,140,140,740,140,180,140,284,140,532,140,468,140,140,140,236,140,140,140,680,140,164,140,260,140,532,140,596,140,468,140,140,140,280,140,424,140,164,140,308,140,532,140,440,140,140,140,140,140,140,140,724,140,172,140,268,140
8,140,548,140,164,140,276,140,508,140,552,140,172,140,356,140,508,140,304,140,260,140,260,140,508,140,520,140,164,140,252,140,828,140,552,140,156,140,372,140,544,140,528,140,164,140,292,140,544,140,152,140,316,140,140,140,544,140,544,140,164,140,252,140
12,136,536,136,160,136,524,136,136,136,296,524,360,136,380,136,536,136,460,136,136,136,520,136,136,136,680,520,496,136,136,136,524,136,592,136,160,136,524,136,480,136,568,900,756,136,136,136,512,136,452,136,480,136,524,136,136,136,736,516,316,136,268,136
16,140,540,140,516,140,140,140,516,140,564,140,520,140,140,140,820,140,464,140,536,140,140,140,536,140,520,140,536,140,140,140,1228,140,556,140,544,140,140,140,544,140,192,140,544,140,140,140,520,140,140,140,512,140,140,140,512,140,332,140,512,140,140,140
20,140,540,140,536,140,140,536,352,140,460,140,428,520,248,140,516,140,508,140,528,140,140,516,140,140,688,140,172,528,304,140,524,140,600,140,524,140,140,528,424,140,540,140,172,540,308,140,532,140,548,140,512,140,140,512,380,140,664,140,172,512,328,140
24,140,540,524,292,140,520,140,532,140,552,828,292,140,540,140,544,140,508,544,304,140,824,140,548,140,512,548,292,140,548,140,904,140,552,516,316,140,516,140,516,140,568,884,292,140,544,140,544,140,140,548,324,140,908,140,520,140,568,528,296,140,440,140
28,140,540,536,304,536,304,544,468,140,472,140,520,140,516,140,516,140,312,524,316,524,284,536,140,140,692,140,532,140,528,140,528,140,316,528,312,512,240,536,284,140,512,140,528,140,552,140,540,140,440,540,284,552,312,548,276,140,556,140,548,140,548,140
32,140,540,140,524,140,516,140,832,140,548,140,552,140,548,140,816,140,544,140,540,140,540,140,912,140,828,140,524,140,524,140,876,140,544,140,548,140,540,140,968,140,528,140,536,140,528,140,952,140,520,140,528,140,520,140,812,140,544,140,544,140,556,140
36,136,544,136,528,136,528,136,444,908,312,524,312,524,296,516,920,136,520,136,516,136,540,136,548,536,712,540,324,504,308,504,668,136,504,136,548,136,548,136,548,556,716,544,320,544,324,540,684,136,524,136,512,136,512,136,512,792,752,476,316,512,324,512
40,140,512,140,520,520,140,844,916,140,556,140,552,796,140,636,544,140,548,140,908,916,140,520,920,140,808,140,636,532,140,536,836,140,532,140,540,540,140,960,524,140,532,140,524,824,140,540,540,140,552,140,820,540,140,540,540,140,932,140,512,520,140,512
44,140,528,528,140,532,804,140,520,520,140,516,788,140,512,512,512,140,924,928,140,540,540,140,844,916,140,508,916,140,932,916,540,140,656,968,140,636,536,140,532,764,140,516,520,140,516,796,916,140,512,512,140,948,916,140,540,528,140,924,916,140,540,916
48,140,520,520,788,140,820,536,536,140,540,820,544,140,544,544,904,140,632,512,676,140,876,916,540,140,656,904,916,140,516,916,956,140,632,520,684,140,784,536,532,140,536,816,928,140,532,536,936,140,636,516,672,140,896,916,512,140,512,876,928,140,540,540
