4,412,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,300,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,304,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,304,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,304,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,304,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,512,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,288,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
8,280,48,48,48,48,48,48,48,160,48,48,48,48,48,48,48,164,48,48,48,48,48,48,48,164,48,48,48,48,48,48,48,164,48,48,48,48,48,48,48,164,48,48,48,48,48,48,48,184,48,48,48,48,48,48,48,184,48,48,48,48,48,48,48,376,48,48,48,48,48,48,48,320,48,48,48,48,48,48,48,368,48,48,48,48,48,48,48,312,48,48,48,48,48,48,48,312,48,48,48,48,48,48,48,312,48,48,48,48,48,48,48,356,48,48,48,48,48,48,48,304,48,48,48,48,48,48,48
12,308,48,48,48,48,48,184,48,48,48,48,188,48,48,48,48,188,48,48,48,48,48,188,48,48,48,48,188,48,48,48,48,160,48,48,48,48,48,160,48,48,48,48,160,48,48,48,48,160,48,48,48,48,48,160,48,48,48,48,160,48,48,48,48,160,48,48,48,48,48,160,48,48,48,48,164,48,48,48,48,164,48,48,48,48,48,332,48,48,48,48,280,48,48,48,48,284,48,48,48,48,48,284,48,48,48,48,284,48,48,48,48,284,48,48,48,48,48,512,48,48,48,48,288,48,48,48,48
16,160,48,48,48,160,48,48,48,164,48,48,48,164,48,48,48,164,48,48,48,164,48,48,48,184,48,48,48,184,48,48,48,184,48,48,48,184,48,48,48,184,48,48,48,184,48,48,48,184,48,48,48,184,48,48,48,188,48,48,48,188,48,48,48,188,48,48,48,188,48,48,48,188,48,48,48,188,48,48,48,188,48,48,48,188,48,48,48,192,48,48,48,192,48,48,48,364,48,48,48,312,48,48,48,544,48,48,48,316,48,48,48,312,48,48,48,316,48,48,48,528,48,48,48,300,48,48,48
20,188,48,48,48,188,48,48,188,48,48,188,48,48,188,48,48,188,48,48,48,160,48,48,160,48,48,160,48,48,160,48,48,160,48,48,48,160,48,48,160,48,48,160,48,48,160,48,48,160,48,48,48,160,48,48,160,48,48,164,48,48,164,48,48,164,48,48,48,164,48,48,168,48,48,168,48,48,168,48,48,168,48,48,48,164,48,48,164,48,48,164,48,48,164,48,48,168,48,48,48,168,48,48,332,48,48,276,48,48,284,48,48,284,48,48,48,284,48,48,284,48,48,408,48,48,404,48,48
24,292,48,48,164,48,48,168,48,168,48,48,168,48,48,168,48,188,48,48,188,48,48,188,48,188,48,48,188,48,48,188,48,188,48,48,188,48,48,192,48,192,48,48,192,48,48,192,48,192,48,48,192,48,48,192,48,192,48,48,196,48,48,196,48,196,48,48,196,48,48,196,48,196,48,48,196,48,48,196,48,196,48,48,196,48,48,196,48,196,48,48,192,48,48,192,48,192,48,48,192,48,48,172,48,172,48,48,440,48,48,388,48,444,48,48,400,48,48,388,48,392,48,48,436,48,48,380,48
28,320,48,48,188,48,192,48,192,48,48,192,48,192,48,164,48,164,48,48,164,48,164,48,164,48,48,164,48,164,48,164,48,168,48,48,168,48,168,48,168,48,48,168,48,168,48,168,48,168,48,48,172,48,172,48,172,48,48,172,48,172,48,172,48,172,48,48,172,48,172,48,172,48,48,172,48,172,48,168,48,168,48,48,168,48,168,48,196,48,48,196,48,196,48,196,48,192,48,48,192,48,192,48,192,48,48,196,48,196,48,404,48,404,48,48,412,48,408,48,412,48,48,408,48,476,48,424,48
32,244,48,152,48,152,48,152,48,152,48,152,48,172,48,172,48,172,48,172,48,172,48,172,48,172,48,172,48,172,48,172,48,172,48,172,48,176,48,176,48,176,48,176,48,180,48,180,48,180,48,180,48,176,48,176,48,176,48,176,48,180,48,180,48,180,48,180,48,176,48,176,48,176,48,176,48,156,48,156,48,156,48,156,48,156,48,156,48,156,48,156,48,156,48,156,48,156,48,156,48,152,48,152,48,152,48,152,48,148,48,148,48,440,48,384,48,380,48,380,48,384,48,380,48,428,48,372,48
36,272,48,172,48,180,48,176,48,176,176,48,148,48,148,48,148,148,48,148,48,148,48,148,48,148,152,48,152,48,152,48,152,152,48,152,48,152,48,152,48,156,156,48,156,48,156,48,156,156,48,156,48,156,48,156,48,156,156,48,156,48,152,48,152,152,48,152,48,180,48,180,48,180,180,48,176,48,176,48,176,176,48,180,48,180,48,180,48,180,176,48,176,48,176,48,176,172,48,172,48,172,48,172,48,172,172,48,172,48,172,48,172,172,48,448,48,396,48,404,48,404,404,48,404,48,436,48,376
40,152,48,152,48,152,152,48,152,152,48,172,48,172,172,48,172,172,48,172,48,172,172,48,172,172,48,172,48,172,176,48,176,176,48,176,48,180,180,48,180,180,48,176,48,176,176,48,176,180,48,180,48,180,180,48,176,176,48,176,48,176,156,48,156,156,48,156,48,156,156,48,156,156,48,156,48,156,156,48,156,152,48,152,48,152,152,48,148,148,48,148,48,148,148,48,148,148,48,148,48,152,152,48,152,152,48,152,48,152,152,48,152,172,48,172,48,456,400,48,452,396,48,396,48,400,444,48,392
