4,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,544,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
8,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,352,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,444,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,360,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
12,116,116,116,116,116,116,116,116,116,116,564,116,116,116,116,116,116,116,116,116,116,660,116,116,116,116,116,116,116,116,116,572,116,116,116,116,116,116,116,116,116,116,680,116,116,116,116,116,116,116,116,116,116,592,116,116,116,116,116,116,116,116,116
16,112,112,112,112,112,112,112,376,112,112,112,112,112,112,112,468,112,112,112,112,112,112,112,384,112,112,112,112,112,112,112,484,112,112,112,112,112,112,112,396,112,112,112,112,112,112,112,476,112,112,112,112,112,112,112,388,112,112,112,112,112,112,112
20,116,116,116,116,116,116,536,116,116,116,116,116,628,116,116,116,116,116,116,540,116,116,116,116,116,648,116,116,116,116,116,560,116,116,116,116,116,116,548,116,116,116,116,116,552,116,116,116,116,116,116,528,116,116,116,116,116,532,116,116,116,116,116
24,116,116,116,116,116,360,116,116,116,116,452,116,116,116,116,368,116,116,116,116,116,468,116,116,116,116,380,116,116,116,116,460,116,116,116,116,116,372,116,116,116,116,444,116,116,116,116,356,116,116,116,116,116,456,116,116,116,116,368,116,116,116,116
28,112,112,112,112,568,112,112,112,112,660,112,112,112,576,112,112,112,112,684,112,112,112,596,112,112,112,112,672,112,112,112,584,112,112,112,112,652,112,112,112,112,564,112,112,112,672,112,112,112,112,584,112,112,112,672,112,112,112,112,588,112,112,112
32,112,112,112,568,112,112,112,660,112,112,112,576,112,112,112,684,112,112,112,596,112,112,112,672,112,112,112,584,112,112,112,652,112,112,112,564,112,112,112,672,112,112,112,584,112,112,112,672,112,112,112,588,112,112,112,676,112,112,112,592,112,112,112
36,112,112,112,348,112,112,112,356,112,112,356,112,112,112,456,112,112,368,112,112,112,448,112,112,364,112,112,112,436,112,112,348,112,112,112,448,112,112,112,356,112,112,452,112,112,112,364,112,112,452,112,112,112,364,112,112,372,112,112,112,372,112,112
40,116,116,116,532,116,116,628,116,116,544,116,116,652,116,116,560,116,116,116,640,116,116,548,116,116,528,116,116,532,116,116,548,116,116,116,548,116,116,636,116,116,552,116,116,644,116,116,556,116,116,116,640,116,116,552,116,116,648,116,116,560,116,116
44,116,116,372,116,116,464,116,116,380,116,116,480,116,116,392,116,116,472,116,116,384,116,116,456,116,116,368,116,116,472,116,380,116,116,472,116,116,384,116,116,472,116,116,388,116,116,344,116,116,344,116,116,440,116,116,352,116,116,448,116,116,364,116
48,116,116,564,116,116,652,116,568,116,116,676,116,116,588,116,664,116,116,576,116,116,644,116,556,116,116,660,116,116,576,116,660,116,116,580,116,116,672,116,584,116,116,620,116,116,528,116,628,116,116,540,116,116,652,116,568,116,116,560,116,116,560,116
52,116,116,544,116,640,116,116,556,116,664,116,116,572,116,648,116,116,560,116,632,116,116,544,116,648,116,116,560,116,648,116,564,116,116,656,116,568,116,116,564,116,564,116,116,572,116,576,116,116,684,116,600,116,116,680,116,592,116,116,656,116,572,116
