4,242,383,68,68,68,242,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
8,381,383,241,68,244,242,68,68,68,68,383,68,242,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
12,380,382,380,244,68,391,243,68,68,245,391,68,68,246,68,68,68,68,244,68,242,68,68,68,68,68,68,68,68,68,68
16,243,391,391,391,382,382,244,382,68,68,391,242,245,244,246,68,68,244,68,68,68,68,68,242,68,68,68,68,68,68,68
20,393,390,391,379,391,232,68,245,68,68,392,68,245,233,390,244,246,68,68,379,382,68,68,242,244,244,68,243,68,68,68
24,381,391,391,391,392,389,68,392,244,232,68,244,233,379,390,383,68,68,68,68,241,393,68,244,245,232,244,242,244,68,231
28,390,391,392,391,245,391,381,244,68,381,381,243,68,233,391,390,245,233,245,245,391,390,234,244,392,68,231,242,233,234,68
32,390,392,389,383,390,393,232,391,381,243,390,234,391,246,231,391,233,391,233,232,392,244,246,391,234,381,244,242,234,245,243
36,392,389,381,392,231,382,391,390,232,391,391,389,242,233,245,393,242,244,391,233,233,391,392,245,382,242,244,392,231,391,233
40,391,380,393,233,390,390,390,243,392,244,390,391,390,380,391,391,232,244,242,392,392,232,389,381,234,392,233,392,232,243,231
44,391,393,389,394,380,389,393,381,391,390,391,389,390,390,392,233,380,390,245,233,233,233,246,390,233,391,390,243,390,233,244
48,242,393,391,393,390,390,391,381,381,382,234,232,390,392,393,391,392,389,391,232,393,389,389,245,391,389,390,242,391,234,234
52,393,388,392,411,391,380,391,388,413,390,393,391,393,391,231,244,392,391,392,234,381,392,379,232,234,391,244,389,390,392,391
56,393,391,391,390,412,391,392,412,390,391,381,392,234,391,244,391,392,391,390,390,233,411,245,390,391,380,391,390,391,412,383
60,380,391,411,389,392,390,392,388,390,391,411,411,245,392,234,410,392,412,391,391,380,382,410,391,391,392,389,391,391,391,390
64,393,411,411,391,391,412,388,383,390,393,381,390,390,412,389,381,390,410,393,391,413,390,390,391,389,391,410,393,409,391,390
68,412,412,390,410,380,392,412,392,391,390,392,392,391,413,390,411,391,411,391,410,391,381,389,391,392,390,410,394,390,379,391
72,413,388,382,390,392,413,390,413,411,410,392,389,390,391,412,389,391,391,392,391,382,392,411,410,412,391,391,411,379,390,392
76,392,392,389,391,411,412,411,411,389,392,390,411,389,393,380,411,382,391,389,392,411,391,391,410,391,390,393,411,411,379,411
80,392,410,390,392,409,413,410,413,388,412,409,392,411,391,380,412,390,392,392,390,382,390,392,380,412,390,392,388,392,410,410
84,392,381,392,411,392,410,411,403,391,393,381,390,411,411,411,380,392,412,412,411,390,391,390,390,389,410,413,412,391,390,392
88,392,410,392,401,392,401,411,410,411,391,411,392,411,390,391,391,379,413,391,411,410,411,382,389,410,411,390,389,391,391,391
92,412,411,391,392,411,412,412,401,392,390,392,410,394,390,400,412,379,405,402,392,412,382,392,393,391,410,390,411,390,391,410
96,410,412,390,404,392,390,392,411,394,402,393,400,381,392,411,382,390,411,409,391,389,413,402,411,411,411,392,402,391,410,392
100,412,411,392,391,392,410,380,409,393,401,411,391,412,404,411,390,401,399,392,410,392,409,402,392,411,389,392,400,392,391,381
104,404,412,400,411,399,410,389,381,390,412,391,400,394,411,391,410,389,403,389,412,410,411,390,392,381,413,390,391,402,401,392
108,411,400,391,380,410,383,389,392,400,412,390,393,392,390,412,405,401,411,411,410,412,399,393,406,391,399,403,389,413,389,392
112,412,392,411,414,390,412,401,393,381,401,411,411,392,401,411,402,390,401,404,400,394,390,405,391,412,411,392,402,389,382,390
116,392,389,392,411,382,411,392,382,412,405,412,402,410,402,390,411,391,392,391,391,390,393,400,405,401,400,392,410,401,412,411
120,412,391,412,412,402,409,401,391,404,392,411,392,379,412,411,402,391,402,400,382,393,392,390,390,410,389,412,390,405,402,393
124,405,400,401,393,393,411,411,381,392,406,411,389,400,392,391,391,411,391,390,384,390,410,391,412,402,401,412,390,410,391,402
128,403,402,410,413,390,411,411,389,392,391,393,411,412,401,390,401,390,390,392,391,390,413,389,410,406,380,403,391,402,399,392
132,390,412,391,381,411,390,389,390,402,403,392,392,392,389,390,391,411,411,400,412,399,404,401,401,412,391,392,413,411,400,393
136,390,391,410,394,390,402,404,392,392,391,411,393,411,392,402,379,391,390,399,403,391,405,401,412,410,391,391,411,411,394,401
140,391,391,390,392,401,391,391,392,410,405,400,390,392,391,401,412,405,410,391,410,410,401,400,412,411,380,391,392,392,411,392
144,391,390,410,393,404,391,402,391,401,401,391,391,411,393,390,406,391,402,389,392,392,411,390,410,390,412,410,413,400,382,391
148,402,391,389,392,404,392,391,402,392,391,390,410,391,390,392,400,393,410,392,410,390,410,412,391,402,410,381,404,411,402,392
152,400,405,400,391,412,391,393,391,380,392,411,390,391,404,413,391,401,410,393,391,389,412,389,411,392,391,403,400,393,402,392
