blocks,threads,reps,bandwidth
528,64,65536,1220.19
528,64,131072,1215.78
528,64,262144,1215.15
528,128,2,2051.6
528,128,4,2469.18
528,128,8,2572.16
528,128,16,2631.95
528,128,32,2562.46
528,128,64,2518.4
528,128,128,2489.44
528,128,256,2435.81
528,128,512,2482.51
528,128,1024,2468.61
528,128,2048,2463.77
528,128,4096,2444.14
528,128,8192,2411.53
528,128,16384,2398.51
528,128,32768,2391.72
528,128,65536,2391.23
528,128,131072,2386.61
528,128,262144,2389.96
528,256,2,3133.36
528,256,4,4298.88
528,256,8,4693.13
528,256,16,4816.58
528,256,32,4972.95
528,256,64,4796.87
528,256,128,4791.96
528,256,256,4824.21
528,256,512,4912.01
528,256,1024,4899.32
528,256,2048,4911.74
528,256,4096,4788.74
528,256,8192,4775.81
528,256,16384,4733.28
528,256,32768,4716.73
528,256,65536,4715.24
528,256,131072,4706.49
528,256,262144,4710.02
528,512,2,3371.33
528,512,4,5016.59
528,512,8,5871.12
528,512,16,6752.38
528,512,32,7332.24
528,512,64,8194.93
528,512,128,8762.5
528,512,256,8987.42
528,512,512,9435.86
528,512,1024,9626.24
528,512,2048,9567.94
528,512,4096,9342.71
528,512,8192,9195.46
528,512,16384,9106.99
528,512,32768,9011.4
528,512,65536,9065.96
528,512,131072,8996.3
528,512,262144,9052.26
528,1024,2,3106.77
528,1024,4,4691.25
528,1024,8,5591.01
528,1024,16,6499.58
528,1024,32,6918.82
528,1024,64,7376.66
528,1024,128,8054.82
528,1024,256,8775.01
528,1024,512,9475.56
528,1024,1024,9628.04
528,1024,2048,9412.09
528,1024,4096,9243.24
528,1024,8192,9096.53
528,1024,16384,9135.13
528,1024,32768,9109.34
528,1024,65536,9121.47
528,1024,131072,9106.82
528,1024,262144,9122.22
1056,32,2,1163.5
1056,32,4,1333.19
1056,32,8,1361.22
1056,32,16,1346.75
1056,32,32,1320.61
1056,32,64,1263.82
1056,32,128,1244.19
1056,32,256,1236.04
1056,32,512,1251.83
1056,32,1024,1259.6
1056,32,2048,1265.53
1056,32,4096,1226.53
1056,32,8192,1263.23
1056,32,16384,1237.39
1056,32,32768,1218.68
1056,32,65536,1205.48
1056,32,131072,1201.26
1056,32,262144,1197.93
1056,64,2,1918.59
1056,64,4,2416.24
1056,64,8,2600.7
1056,64,16,2585.21
1056,64,32,2591.93
1056,64,64,2553.17
1056,64,128,2500.53
1056,64,256,2439.83
1056,64,512,2469.92
1056,64,1024,2505.01
1056,64,2048,2500.59
1056,64,4096,2461.53
1056,64,8192,2494.51
1056,64,16384,2411.45
1056,64,32768,2371.13
1056,64,65536,2357.37
1056,64,131072,2363.35
1056,64,262144,2356.44
1056,128,2,2556.45
1056,128,4,3945.71
1056,128,8,4602.81
1056,128,16,4911.46
1056,128,32,4877.73
1056,128,64,4856.51
1056,128,128,4762.51
1056,128,256,4704.85
1056,128,512,4873.33
1056,128,1024,4933.66
1056,128,2048,4902.19
1056,128,4096,4842.74
1056,128,8192,4756.52
1056,128,16384,4644.04
1056,128,32768,4611.24
1056,128,65536,4586.59
1056,128,131072,4574.21
1056,128,262144,4565.48
1056,256,2,2852.67
1056,256,4,4790.99
1056,256,8,5772.78
1056,256,16,6821.16
1056,256,32,7615.76
1056,256,64,8347.43
1056,256,128,8596.19
1056,256,256,8845.17
1056,256,512,9070.24
1056,256,1024,9548.91
