threads,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144
32,13.3466,13.3441,13.3474,13.3358,13.3381,13.3424,13.339,13.3258,13.3407,13.3258,13.3249,13.3266,13.3415,13.3349,13.3415,13.3399,13.3299,13.3399
64,13.3658,13.3658,13.3625,13.3619,13.3658,13.3658,13.3656,13.34,13.3658,13.3658,13.3658,13.3658,13.3658,13.3658,13.3658,13.3658,13.3658,13.3658
128,13.4736,13.4736,13.4736,13.4736,13.4736,13.4736,13.4736,13.4583,13.4642,13.4736,13.4736,13.4736,13.4736,13.4736,13.4727,13.4736,13.4736,13.4736
256,13.4736,13.4872,13.4736,13.4804,13.4736,13.4744,13.4736,13.4738,13.4736,13.4736,13.4736,13.4736,13.4736,13.4736,13.4736,13.4736,13.4736,13.4736
512,13.8076,14.0503,13.8723,13.9341,13.9244,13.9191,13.9218,13.9172,13.9199,13.9232,13.9225,13.9228,13.9227,13.9227,13.9227,13.9227,13.9227,13.9227
1024,14.7069,15.736,15.8497,15.9116,15.9161,15.9125,15.9083,15.9103,15.9115,15.9112,15.9116,15.9114,15.9116,15.9116,15.9116,15.9116,15.9116,15.9116
