blocks,threads,reps,bandwidth
528,64,64,4028.27
528,64,128,4051.95
528,64,256,4060.11
528,64,512,4071.66
528,64,1024,4078.43
528,64,2048,4050.53
528,64,4096,4052.09
528,64,8192,4069.46
528,64,16384,4080.86
528,64,32768,4072.04
528,64,65536,4086.64
528,64,131072,4079.93
528,64,262144,4087.97
528,128,2,2971.29
528,128,4,3498.13
528,128,8,3709.64
528,128,16,3908.86
528,128,32,3972.46
528,128,64,4009.32
528,128,128,4050.81
528,128,256,4069.28
528,128,512,4080.41
528,128,1024,4025.59
528,128,2048,3975.6
528,128,4096,4014.77
528,128,8192,4068.45
528,128,16384,4082.58
528,128,32768,4073.17
528,128,65536,4082.53
528,128,131072,4082.27
528,128,262144,4088.05
528,256,2,2944.41
528,256,4,3264.28
528,256,8,3583.72
528,256,16,3782.68
528,256,32,3862.16
528,256,64,3954.69
528,256,128,3996.93
528,256,256,4042.21
528,256,512,4034.41
528,256,1024,4010.24
528,256,2048,4012.27
528,256,4096,4023.48
528,256,8192,4038.18
528,256,16384,4065.69
528,256,32768,4084.95
528,256,65536,4071.84
528,256,131072,4078
528,256,262144,4081.06
528,512,2,2992.53
528,512,4,3235.44
528,512,8,3643.89
528,512,16,3806.64
528,512,32,3936.43
528,512,64,3998.55
528,512,128,4018.09
528,512,256,4054.89
528,512,512,4061.14
528,512,1024,4074.55
528,512,2048,4067.91
528,512,4096,4064.6
528,512,8192,4054.26
528,512,16384,4060.9
528,512,32768,4071.86
528,512,65536,4074.82
528,512,131072,4064.51
528,512,262144,4070.74
528,1024,2,3051.76
528,1024,4,3390.84
528,1024,8,3699.1
528,1024,16,3860.57
528,1024,32,3810.05
528,1024,64,3871.89
528,1024,128,3854.93
528,1024,256,3799.12
528,1024,512,3794.18
528,1024,1024,3748.94
528,1024,2048,3880.93
528,1024,4096,3862.93
528,1024,8192,3916.16
528,1024,16384,3957.25
528,1024,32768,4001.17
528,1024,65536,3972.29
528,1024,131072,4026.05
528,1024,262144,3990.56
1056,32,2,2779.59
1056,32,4,3473.25
1056,32,8,3742.81
1056,32,16,3919.31
1056,32,32,4000.26
1056,32,64,4046.7
1056,32,128,4081.14
1056,32,256,4081.63
1056,32,512,4097.53
1056,32,1024,4102.73
1056,32,2048,4103.65
1056,32,4096,4092.95
1056,32,8192,4089.06
1056,32,16384,4083.98
1056,32,32768,4087.09
1056,32,65536,4067.06
1056,32,131072,4077.16
1056,32,262144,4081.43
1056,64,2,2844.36
1056,64,4,3428.54
1056,64,8,3714.34
1056,64,16,3877.17
1056,64,32,3972.46
1056,64,64,4007.95
1056,64,128,4047.23
1056,64,256,4072.01
1056,64,512,4079.61
1056,64,1024,4049.27
1056,64,2048,4003.37
1056,64,4096,4022.2
1056,64,8192,4054.47
1056,64,16384,4060.51
1056,64,32768,4058.34
1056,64,65536,4076.37
1056,64,131072,4076.61
1056,64,262144,4079.77
1056,128,2,2977.32
1056,128,4,3534
1056,128,8,3713.17
1056,128,16,3844.73
1056,128,32,3963.72
1056,128,64,4040.77
1056,128,128,4055.9
1056,128,256,4056.42
1056,128,512,4062.82
1056,128,1024,4066.33
1056,128,2048,3997.75
1056,128,4096,4009.22
1056,128,8192,4051.46
1056,128,16384,4072.48
1056,128,32768,4060.59
1056,128,65536,4082.14
1056,128,131072,4073.27
1056,128,262144,4074.6
1056,256,2,3039.09
1056,256,4,3570.61
1056,256,8,3706.12
1056,256,16,3929.17
1056,256,32,3923.25
1056,256,64,3970.1
1056,256,128,4006.84
1056,256,256,4048.89
1056,256,512,4049.85
1056,256,1024,4030.13
1056,256,2048,4055.12
1056,256,4096,4059.51
1056,256,8192,4076.36
1056,256,16384,4083.02
1056,256,32768,4089.41
1056,256,65536,4079.42
1056,256,131072,4075.07
1056,256,262144,4080.47
1056,512,2,2983.39
1056,512,4,3559.77
1056,512,8,3643.89
1056,512,16,3772.94
1056,512,32,3897.8
1056,512,64,3921.77
1056,512,128,3951.28
1056,512,256,3968.04
1056,512,512,3971.85
1056,512,1024,3981.8
1056,512,2048,3965.33
1056,512,4096,3947.37
1056,512,8192,3928.38
1056,512,16384,3966.55
1056,512,32768,3970.98
1056,512,65536,3957.36
1056,512,131072,3956.05
1056,512,262144,3947.27
1056,1024,2,3014.08
1056,1024,4,3570.61
1056,1024,8,3786.35
1056,1024,16,3833.42
1056,1024,32,3858.34
1056,1024,64,3878.45
1056,1024,128,3889.4
1056,1024,256,3829.54
1056,1024,512,3806.7
1056,1024,1024,3759.76
1056,1024,2048,3758.99
1056,1024,4096,3798.81
1056,1024,8192,3842.33
1056,1024,16384,3900.15
1056,1024,32768,3942.45
1056,1024,65536,3901.39
1056,1024,131072,3932.19
1056,1024,262144,3925.02
2112,32,2,2923.84
2112,32,4,3444.66
2112,32,8,3655.26
2112,32,16,3862.48
2112,32,32,4011.55
2112,32,64,4030.7
2112,32,128,4075.11
2112,32,256,4080.52
2112,32,512,4080.12
2112,32,1024,4083.22
2112,32,2048,4071.07
2112,32,4096,4065.21
2112,32,8192,4079.25
2112,32,16384,4068.92
2112,32,32768,4040.79
2112,32,65536,4045.97
2112,32,131072,4059.43
2112,32,262144,4071.23
2112,64,2,2926.76
2112,64,4,3506.51
2112,64,8,3640.49
2112,64,16,3881.02
2112,64,32,3964.06
2112,64,64,3998.21
2112,64,128,4052.04
2112,64,256,4056.86
2112,64,512,4049.24
2112,64,1024,4009.99
2112,64,2048,3938.8
2112,64,4096,4026.67
2112,64,8192,4057.51
2112,64,16384,4059.73
2112,64,32768,4059.6
2112,64,65536,4062.47
2112,64,131072,4068.33
2112,64,262144,4074.41
2112,128,2,3001.73
2112,128,4,3430.55
2112,128,8,3741.62
2112,128,16,3847.26
2112,128,32,3933.79
2112,128,64,3938.58
2112,128,128,4011.21
2112,128,256,4010.78
2112,128,512,4030.22
2112,128,1024,4053.58
2112,128,2048,4062.01
2112,128,4096,4064.18
2112,128,8192,4068.67
2112,128,16384,4075.68
2112,128,32768,4078.94
2112,128,65536,4083.41
2112,128,131072,4078.78
2112,128,262144,4075.12
2112,256,2,2974.3
2112,256,4,3377.16
2112,256,8,3584.81
2112,256,16,3847.89
2112,256,32,3998.55
2112,256,64,3933.62
2112,256,128,4063.63
2112,256,256,4060.33
2112,256,512,4057.52
2112,256,1024,4085.42
2112,256,2048,4086.72
2112,256,4096,4096.43
2112,256,8192,4104.35
2112,256,16384,4101.7
2112,256,32768,4102.81
2112,256,65536,4091.48
2112,256,131072,4086.58
2112,256,262144,4086.54
2112,512,2,3045.41
2112,512,4,3630.34
2112,512,8,3711.99
2112,512,16,3879.74
2112,512,32,4004.7
2112,512,64,4027.75
2112,512,128,4010.95
2112,512,256,4076.57
2112,512,512,4012.99
2112,512,1024,4004.08
2112,512,2048,3981.73
2112,512,4096,4020.36
2112,512,8192,4046.43
2112,512,16384,4061.56
2112,512,32768,4071.78
2112,512,65536,4032.58
2112,512,131072,4043.78
2112,512,262144,4034.69
2112,1024,2,3087.13
2112,1024,4,3523.38
2112,1024,8,3820.92
2112,1024,16,3872.69
2112,1024,32,3896.51
2112,1024,64,3917.68
2112,1024,128,3857.95
2112,1024,256,3727.23
2112,1024,512,3702.52
2112,1024,1024,3714.05
2112,1024,2048,3847.85
2112,1024,4096,3928.25
2112,1024,8192,3993.83
2112,1024,16384,4020.94
2112,1024,32768,4009.74
2112,1024,65536,3953.56
2112,1024,131072,3931.18
2112,1024,262144,3950.39
4224,32,2,2861.02
4224,32,4,3255.21
4224,32,8,3573.88
4224,32,16,3847.89
4224,32,32,3938.74
4224,32,64,3987.16
4224,32,128,4043.21
4224,32,256,4031.78
4224,32,512,4054.23
4224,32,1024,4025.57
4224,32,2048,4041.3
4224,32,4096,4018.54
4224,32,8192,4072.8
4224,32,16384,4047.86
4224,32,32768,4025.96
4224,32,65536,4062.41
4224,32,131072,4051.7
4224,32,262144,4065.32
4224,64,2,3067.74
4224,64,4,3577.15
4224,64,8,3735.66
4224,64,16,3827.78
4224,64,32,3928.84
4224,64,64,3991.74
4224,64,128,4031.3
4224,64,256,4026.93
4224,64,512,4029.38
4224,64,1024,4056.31
4224,64,2048,4039.57
4224,64,4096,4059.2
4224,64,8192,4059.55
4224,64,16384,4064.84
4224,64,32768,4074.12
4224,64,65536,4077.42
4224,64,131072,4080.08
4224,64,262144,4081.85
4224,128,2,2938.5
4224,128,4,3314.13
4224,128,8,3745.21
4224,128,16,3820.29
4224,128,32,3885.53
4224,128,64,3909.02
4224,128,128,3907.63
4224,128,256,3922.35
4224,128,512,3972.69
4224,128,1024,3942.7
4224,128,2048,3914.62
4224,128,4096,4019.57
4224,128,8192,4042.54
4224,128,16384,4080.22
4224,128,32768,4084.97
4224,128,65536,4093.94
4224,128,131072,4092.77
4224,128,262144,4079.38
4224,256,2,2962.27
4224,256,4,3519.14
4224,256,8,3695.6
4224,256,16,3887.46
4224,256,32,3943.38
4224,256,64,3992.25
4224,256,128,3999.91
4224,256,256,4026.15
4224,256,512,4019.7
4224,256,1024,4039.63
4224,256,2048,4058.09
4224,256,4096,4077.12
4224,256,8192,4100.37
4224,256,16384,4108.14
4224,256,32768,4113.43
4224,256,65536,4111.38
4224,256,131072,4081.47
4224,256,262144,4061.38
4224,512,2,3120.01
4224,512,4,3568.44
4224,512,8,3690.94
4224,512,16,3887.46
4224,512,32,3960.71
4224,512,64,4008.12
4224,512,128,4023.17
4224,512,256,3983.09
4224,512,512,3850.81
4224,512,1024,3943.49
4224,512,2048,3989.95
4224,512,4096,4022.74
4224,512,8192,4047.3
4224,512,16384,4040.6
4224,512,32768,4023.48
4224,512,65536,4016.67
4224,512,131072,3979.8
4224,512,262144,3965.95
4224,1024,2,2445.48
4224,1024,4,2969.78
4224,1024,8,3131.68
4224,1024,16,3321.64
4224,1024,32,3385.45
4224,1024,64,3404.14
4224,1024,128,3349.29
4224,1024,256,3264.93
4224,1024,512,3262.36
4224,1024,1024,3443.66
4224,1024,2048,3737.78
4224,1024,4096,3896.55
4224,1024,8192,3943.87
4224,1024,16384,3826.99
4224,1024,32768,3663.95
4224,1024,65536,3714.59
4224,1024,131072,3678.19
4224,1024,262144,3681.98
