threads,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144
32,31.4558,31.4154,31.3768,31.4244,31.3882,31.6416,31.4985,31.7329,32.0759,31.6629,31.5509,31.6256,31.3016,31.3062,31.2376,31.4212,31.537,31.435
64,63.5804,64.0805,63.6655,63.8473,62.5494,62.8256,61.637,62.1761,60.9648,61.6093,66.5963,66.7239,66.4755,66.1257,65.5183,65.6593,64.7841,64.569
128,61.9414,73.3691,72.6185,73.6074,72.7908,72.6918,73.1221,72.1005,72.3427,72.6289,73.0115,73.2348,73.3612,73.8185,72.9372,73.6153,71.9799,74.2543
256,76.9392,86.8878,86.7512,82.3242,85.3958,86.1852,86.4872,88.1362,89.3736,88.1827,86.8581,85.4265,86.9646,88.9926,89.9653,88.6985,87.0733,85.2679
512,91.273,89.4219,93.3039,94.8637,95.8067,95.2798,94.2338,95.5322,94.9566,94.9055,95.832,95.4741,95.3173,95.512,96.0711,95.8549,95.4696,94.9611
1024,96.9193,130.857,129.294,133.736,135.909,135.833,135.636,135.912,136.342,136.351,136.321,136.34,136.373,136.382,136.384,136.385,136.385,136.385
