4,1169,92,92,92,92,92,92,92,276,92,92,92,92,92,92,92,275,92,92,92,92,92,92,92,275,92,92,92,92,92,92,92,276,92,92,92,92,92,92,92,274,92,92,92,92,92,92,92,276,92,92,92,92,92,92,92,276,92,92,92,92,92,92,92
8,1281,92,92,92,275,92,92,92,276,92,92,92,275,92,92,92,275,92,92,92,274,92,92,92,276,92,92,92,275,92,92,92,273,92,92,92,275,92,92,92,273,92,92,92,274,92,92,92,276,92,92,92,273,92,92,92,275,92,92,92,275,92,92,92
12,1183,92,92,274,92,92,274,92,274,92,92,274,92,92,275,92,275,92,92,275,92,92,274,92,274,92,92,274,92,92,274,92,274,92,92,274,92,92,274,92,274,92,92,274,92,92,274,92,274,92,92,275,92,92,274,92,275,92,92,274,92,92,275,92
16,1182,92,275,92,275,92,275,92,275,92,275,92,275,92,275,92,274,92,273,92,273,92,273,92,273,92,274,92,273,92,274,92,276,92,275,92,275,92,275,92,274,92,275,92,275,92,275,92,274,92,273,92,273,92,274,92,274,92,274,92,274,92,274,92
20,1182,92,275,92,275,274,92,275,274,92,275,92,275,274,92,273,274,92,274,92,272,272,92,273,273,92,274,92,274,274,92,275,275,92,276,92,275,274,92,274,274,92,273,92,273,274,92,275,274,92,274,92,277,278,92,277,277,92,278,92,277,277,92,277
24,1181,92,275,275,275,92,275,275,275,92,275,274,274,92,274,274,274,92,274,274,274,92,275,275,275,92,275,274,274,92,274,274,273,92,273,273,274,92,273,273,274,92,274,278,277,92,277,278,277,92,277,276,278,92,278,278,278,92,277,278,278,92,278,279
28,1176,92,274,275,275,274,275,275,275,92,274,274,274,274,274,273,275,92,274,276,275,274,276,275,275,92,274,275,274,274,275,273,274,92,275,274,274,277,277,277,278,92,277,277,277,277,278,278,279,92,278,279,278,278,279,277,277,92,277,278,277,277,277,278
32,1176,276,275,275,275,275,275,275,274,274,274,274,274,274,274,274,275,275,275,275,275,275,276,275,274,274,274,274,274,274,275,275,278,277,277,277,278,277,277,278,278,278,278,278,278,278,278,279,277,277,277,277,278,277,277,277,277,278,278,279,279,279,278,279
36,1177,276,276,276,276,276,275,276,275,275,274,274,275,275,274,276,276,276,276,276,276,275,275,275,275,275,275,274,274,278,277,278,277,277,279,279,279,279,279,278,279,279,278,277,277,277,278,277,277,277,279,279,279,278,279,279,279,282,282,282,284,283,283,283
40,1176,275,275,275,275,276,275,273,275,274,275,274,274,275,275,275,274,275,275,274,273,274,275,274,274,274,278,277,277,277,278,276,277,278,279,278,278,279,277,277,278,277,277,277,277,278,278,277,278,279,278,277,284,282,282,283,281,283,272,271,272,272,271,272
44,1173,274,274,274,274,274,273,273,273,274,273,274,275,276,275,274,275,275,274,274,274,274,275,274,277,277,277,277,278,276,278,278,278,278,278,278,277,277,278,277,277,279,278,278,279,278,278,283,283,282,282,283,282,272,273,271,272,272,271,282,282,282,283,282
48,1176,275,275,276,275,275,274,274,274,273,273,276,275,275,275,275,275,273,273,274,274,273,278,277,277,277,278,277,278,279,278,278,278,277,277,278,277,276,278,278,278,279,278,281,283,282,282,283,272,271,272,272,272,271,281,283,282,282,283,271,272,272,271,272
52,1250,276,275,274,275,275,274,274,274,274,276,275,275,276,275,274,274,274,273,275,277,277,278,277,277,278,278,278,278,277,277,277,276,277,278,278,278,279,278,278,282,282,283,283,282,272,273,271,272,271,282,283,282,282,282,271,272,272,271,273,274,273,274,273
56,1169,274,275,276,274,273,275,274,273,274,275,275,274,276,274,273,274,275,274,278,279,276,278,278,278,280,278,277,279,277,277,277,279,278,279,277,278,284,282,282,283,283,271,273,271,271,282,284,283,281,283,272,272,272,272,273,276,274,273,274,275,276,275,274
60,1175,274,275,276,275,274,274,273,274,276,275,276,276,274,275,273,275,274,278,277,277,278,277,277,278,277,276,276,278,277,278,278,278,279,278,282,283,282,283,271,271,272,272,282,282,282,283,273,272,272,271,271,275,273,274,274,275,274,275,275,274,275,274,275
64,1188,274,274,275,274,274,275,273,275,275,275,274,274,274,274,274,277,277,277,277,278,278,278,278,277,277,277,277,278,278,277,279,282,281,283,283,271,272,271,271,282,282,281,283,272,271,271,272,274,273,274,274,274,275,274,275,274,273,273,274,273,275,275,276
68,1185,275,275,274,274,274,273,274,275,274,275,275,273,274,274,273,278,278,276,278,277,279,279,276,278,277,276,278,278,278,278,282,282,283,271,271,272,271,281,283,281,283,272,271,272,272,273,273,274,274,275,275,274,274,275,273,274,275,274,275,275,276,276,277
72,1189,274,274,275,273,273,274,273,274,275,275,273,274,274,273,277,277,276,278,277,278,278,276,277,277,279,279,277,278,283,281,283,272,272,271,272,282,282,282,281,272,272,271,274,274,274,273,275,275,275,274,274,274,274,274,275,275,275,276,277,276,274,274,274
76,1184,275,273,276,274,273,275,275,275,275,274,274,274,273,277,277,276,278,277,278,278,276,277,277,278,277,279,282,281,282,282,271,272,271,282,283,282,283,272,271,272,274,274,274,276,274,275,275,273,273,273,275,275,275,275,276,276,276,274,274,274,276,276,276
80,1183,274,275,275,273,274,274,275,275,274,274,275,273,277,276,277,279,277,278,278,276,277,277,278,277,278,282,281,282,272,272,271,283,283,281,282,272,271,272,273,274,274,274,275,275,273,274,274,275,275,274,276,276,276,276,273,274,275,275,276,276,273,274,274
84,1175,275,274,274,274,275,274,274,275,276,274,274,273,278,277,277,278,278,279,277,277,278,277,278,279,282,283,283,272,272,272,282,284,283,272,273,272,273,274,275,275,274,276,273,274,274,274,276,275,275,277,276,274,275,274,275,276,277,274,273,275,271,272,273
88,1172,275,275,274,274,274,276,275,275,274,275,274,277,277,277,279,279,278,278,277,277,279,278,278,282,283,282,271,271,271,283,282,271,272,273,274,274,275,275,275,275,274,274,275,274,275,276,276,275,277,274,273,274,276,275,276,275,274,273,273,272,271,281,282
92,1174,275,275,274,274,274,275,275,275,274,274,274,277,278,279,278,278,277,277,277,278,278,278,283,282,283,272,272,282,283,282,272,272,271,274,274,274,275,275,274,275,274,275,275,275,276,276,276,274,274,274,276,276,274,274,274,272,272,272,281,282,281,272,272
96,1180,275,275,274,275,274,275,275,274,274,274,277,276,277,278,279,277,278,277,279,278,279,282,283,272,272,272,283,282,282,272,272,274,273,274,275,275,275,274,275,276,275,275,277,277,277,273,274,277,276,276,274,274,274,272,272,282,281,281,272,272,272,281,281
100,1175,275,275,274,274,274,275,275,274,274,274,277,277,278,279,278,277,278,278,278,279,282,282,282,272,272,282,283,282,272,272,274,274,274,276,276,274,274,274,275,275,276,276,276,273,274,274,277,276,274,274,274,272,272,282,281,281,272,272,281,282,281,279,279
104,1175,275,275,274,274,275,275,275,274,274,277,278,277,278,279,277,277,278,278,278,283,282,282,272,272,282,283,282,272,272,274,275,275,275,275,274,274,275,275,275,276,276,274,274,274,277,276,274,274,274,272,272,281,282,281,272,272,281,281,282,278,279,270,270
108,1169,275,275,274,275,275,275,276,274,274,278,276,278,279,278,276,277,280,278,283,283,282,273,271,282,282,282,273,272,274,274,275,275,275,274,274,276,276,277,276,276,274,274,276,276,277,274,273,272,272,281,281,281,272,272,282,281,278,279,278,270,269,278,278
112,1176,275,276,273,275,275,275,274,274,273,277,277,278,279,276,277,279,277,279,282,281,271,272,282,283,281,271,271,273,274,274,276,275,274,274,274,275,277,275,274,275,273,277,277,273,274,273,271,282,281,281,272,272,281,282,278,278,277,268,270,278,277,269,270
116,1194,274,274,274,273,275,274,274,273,276,278,277,277,278,277,276,280,279,281,281,272,272,271,282,282,271,273,273,274,274,276,274,274,274,275,274,276,276,273,273,277,276,274,274,274,272,271,281,282,271,273,282,281,278,278,277,271,269,278,279,269,270,277,277
120,1178,274,275,274,273,275,274,274,274,276,278,278,277,277,276,279,278,277,282,283,271,271,282,283,272,271,273,274,274,275,274,273,276,275,275,276,276,274,274,276,276,274,274,272,271,281,281,271,272,271,281,281,278,278,270,270,277,279,269,270,276,276,279,278
124,1177,274,274,273,274,274,274,274,274,277,277,278,278,277,277,278,278,281,283,272,271,282,282,272,272,273,273,275,274,273,274,274,275,275,275,277,274,273,276,276,274,275,271,271,282,281,272,271,282,281,278,279,269,269,279,277,269,271,276,275,278,277,276,275
128,1181,274,273,273,275,275,273,273,277,277,278,278,276,277,277,278,283,282,271,272,282,282,273,271,273,275,274,274,274,273,274,275,276,276,274,273,276,276,273,274,272,271,281,281,271,271,282,281,278,278,269,270,278,277,270,270,274,276,278,279,276,275,279,277
132,1191,275,274,274,274,275,275,274,277,276,279,277,276,278,278,278,283,282,273,272,282,282,271,272,274,273,275,275,274,275,275,275,276,274,274,276,275,275,274,272,272,282,281,272,271,281,281,277,279,270,270,279,277,269,271,276,276,279,277,276,276,278,277,283
136,1175,274,274,274,275,274,273,273,276,276,278,278,276,276,278,278,282,272,272,282,282,272,272,273,274,275,275,274,274,274,274,276,274,274,275,276,274,273,272,271,281,281,271,271,280,280,278,278,269,278,278,269,270,275,276,278,277,276,275,277,278,282,281,274
140,1180,275,274,274,275,275,275,274,277,277,278,277,277,278,278,283,283,272,271,282,282,271,274,274,275,275,274,274,274,275,276,276,274,276,276,274,274,272,272,281,281,272,271,282,278,278,270,269,278,278,270,269,276,276,278,276,276,278,278,282,282,274,273,282
144,1180,275,274,274,275,275,274,274,277,278,278,277,277,278,279,283,272,272,283,283,272,272,274,273,275,274,274,275,275,276,276,273,276,276,274,274,273,272,282,282,272,282,281,277,278,270,270,278,270,270,276,275,278,278,275,276,278,282,282,273,274,283,283,274
148,1180,275,274,274,275,275,274,277,277,278,278,277,277,278,282,282,271,271,282,282,271,274,274,275,275,274,275,275,277,276,274,274,276,274,273,272,272,282,281,272,282,281,278,278,269,278,278,270,269,276,276,278,276,276,278,279,282,282,274,283,283,274,274,274
152,1180,275,273,274,275,275,274,277,276,278,278,277,278,278,283,282,272,282,282,271,272,274,275,275,274,274,275,275,276,273,274,276,274,274,272,272,282,281,272,282,281,278,277,269,278,278,270,269,276,278,278,276,276,278,282,282,274,274,282,274,274,274,274,276
156,1169,275,273,274,274,274,274,278,277,278,277,277,278,278,282,272,273,282,283,271,274,274,275,276,274,274,276,276,274,274,277,275,274,271,273,282,282,273,281,282,279,278,270,280,279,269,275,275,278,277,276,278,277,283,282,274,283,282,274,274,274,275,276,274
160,1183,275,273,273,276,273,274,278,277,279,278,277,278,282,281,272,282,282,272,272,274,276,275,274,276,274,275,277,273,275,277,273,272,274,280,281,272,281,282,278,269,270,278,278,271,275,277,278,275,276,278,279,282,273,275,282,273,275,274,273,277,274,274,276
164,1180,275,274,274,274,274,273,277,277,278,276,278,278,282,282,271,282,282,271,274,274,275,273,275,274,276,276,273,274,277,274,273,271,282,280,272,281,281,279,277,270,279,277,269,276,276,278,277,275,278,283,282,274,274,281,275,274,274,276,275,274,275,275,284
168,1180,275,273,274,276,273,273,277,278,277,277,277,278,282,271,272,282,271,273,273,275,276,273,274,276,275,274,273,275,275,273,271,280,281,272,271,280,279,278,269,278,278,270,276,275,278,275,275,278,281,281,275,282,282,273,273,274,276,275,274,275,284,283,275
172,1177,274,273,275,275,274,276,277,277,277,277,277,283,283,272,283,282,272,272,274,276,274,274,274,277,277,273,277,277,273,273,272,280,272,272,281,278,278,269,279,278,269,277,275,278,276,275,278,283,281,274,282,282,274,274,273,276,273,274,276,283,283,276,283
176,1174,275,274,275,275,274,278,277,278,277,277,278,283,282,272,282,271,272,275,275,275,275,275,276,276,274,275,276,274,274,273,281,272,272,281,278,278,270,277,279,270,275,276,278,276,276,279,282,273,274,282,274,274,273,277,275,274,276,275,284,274,275,284,276
180,1195,277,275,275,276,275,277,278,278,278,279,279,284,273,272,284,273,272,275,276,274,274,275,276,277,274,277,277,274,273,283,282,273,282,281,279,271,278,279,270,277,276,279,276,277,279,283,275,274,282,275,275,274,275,276,275,276,284,285,275,284,285,275,265
184,1190,275,275,276,275,275,278,279,279,278,279,279,283,272,283,284,272,274,275,275,274,276,276,276,275,274,276,275,272,273,282,272,281,283,279,270,271,278,270,278,276,279,277,277,279,284,274,275,283,274,275,274,277,275,273,276,285,284,276,284,275,276,265,272
188,1189,276,275,275,277,275,277,280,279,278,279,284,283,273,284,272,273,275,276,276,275,275,277,276,275,277,274,274,274,281,273,273,283,278,279,271,278,271,271,276,279,276,276,279,284,274,275,283,274,275,274,276,275,274,277,284,275,276,285,275,265,265,274,266
192,1188,275,275,276,274,275,278,278,278,279,278,283,273,272,283,273,274,274,276,274,276,276,277,274,277,276,275,273,281,283,274,281,279,279,270,278,270,270,277,279,276,277,279,282,275,275,282,275,275,274,278,274,277,277,284,276,284,285,276,265,274,273,265,274
196,1192,276,274,276,275,274,277,280,277,278,280,282,272,273,283,273,275,275,276,274,275,276,278,274,276,275,274,272,283,272,272,282,278,271,278,278,271,277,279,280,276,278,283,283,274,284,274,275,274,277,275,277,277,284,276,283,285,275,265,274,273,266,274,280
200,1210,275,274,275,274,274,278,279,277,278,278,282,272,283,283,272,274,274,274,274,275,276,274,274,276,274,272,281,281,271,281,277,269,270,278,269,276,276,278,276,278,283,282,274,282,274,274,274,276,274,276,276,283,276,284,283,275,264,273,264,264,273,281,273
204,1209,274,274,275,273,274,277,278,276,278,278,282,272,282,272,271,273,275,274,275,275,275,274,276,273,274,272,280,272,282,281,277,269,279,270,269,276,278,277,277,277,282,274,282,274,274,274,277,273,275,276,284,275,283,275,274,264,272,265,272,272,280,273,282
208,1204,274,273,274,273,276,276,277,277,277,282,282,271,281,271,273,274,274,274,274,275,273,273,275,273,271,280,281,271,280,277,269,277,278,269,275,277,275,275,278,282,273,281,282,273,273,275,273,275,275,282,274,283,275,274,264,272,264,272,272,279,272,279,272
212,1203,274,273,274,273,276,276,278,276,277,281,271,271,282,271,273,274,273,273,274,275,274,275,273,273,271,280,271,280,277,277,269,277,269,276,275,277,276,277,281,273,273,282,273,273,275,273,273,275,282,274,282,274,274,263,272,264,272,279,280,272,279,272,271
