4,370,50,44,44,44,44,44,44,232,44,44,44,44,44,44,44,232,44,44,44,44,44,44,44,232,44,44,44,44,44,44,44,237,50,50,50,50,50,50,50,238,50,50,50,50,50,50,50,243,56,56,56,56,56,56,56,243,56,56,56,56,56,56,56
8,366,50,44,44,230,44,44,44,230,44,44,44,231,44,44,44,231,44,44,44,230,44,44,44,230,44,44,44,230,44,44,44,235,50,50,50,236,50,50,50,236,50,50,50,237,50,50,50,241,56,56,56,242,56,56,56,242,56,56,56,242,56,56,56
12,369,50,44,231,44,44,231,44,231,44,44,231,44,44,231,44,231,44,44,231,44,44,230,44,230,44,44,230,44,44,230,44,236,50,50,236,50,50,236,50,236,50,50,237,50,50,237,50,243,56,56,243,56,56,243,56,243,56,56,243,56,56,243,56
16,369,50,231,44,231,44,231,44,231,44,232,44,231,44,231,44,230,44,230,44,230,44,230,44,230,44,230,44,230,44,230,44,237,50,237,50,237,50,237,50,237,50,237,50,237,50,237,50,242,56,242,56,243,56,242,56,243,56,242,56,242,56,242,56
20,369,50,231,44,231,231,44,231,232,44,231,44,232,230,44,230,230,44,230,44,230,230,44,231,230,44,231,44,231,231,44,232,237,50,237,50,237,237,50,236,236,50,236,50,236,236,50,237,243,56,243,56,246,245,56,245,246,56,246,56,245,245,56,245
24,369,50,232,231,231,44,231,232,231,44,231,230,230,44,230,230,230,44,230,230,230,44,231,231,232,44,231,231,231,44,231,231,236,50,236,236,236,50,236,236,236,50,236,239,239,50,240,239,245,56,245,246,245,56,247,246,246,56,246,246,246,56,246,246
28,370,50,231,231,232,231,230,232,231,44,230,230,230,230,231,230,229,44,230,231,231,231,231,232,230,44,231,231,230,230,230,230,236,50,237,236,237,240,239,240,239,50,239,239,239,240,240,240,247,56,247,246,247,246,246,246,245,56,246,245,244,246,246,244
32,368,237,229,232,231,231,229,230,230,229,230,230,230,230,230,230,232,231,230,230,231,231,232,231,230,231,230,229,230,230,230,230,240,239,239,239,239,240,239,239,240,239,239,240,240,240,240,240,245,245,245,245,246,245,245,246,245,246,246,246,247,247,245,245
36,368,237,231,231,231,232,231,231,231,230,230,231,231,229,230,232,231,231,232,231,231,231,231,230,230,230,230,231,230,234,233,235,239,239,238,240,240,240,240,241,241,241,241,240,239,240,240,240,245,245,247,246,247,247,246,247,247,250,250,250,252,250,250,251
40,368,237,231,232,230,231,232,229,229,231,230,229,230,232,231,231,230,232,230,231,230,231,230,229,230,231,233,233,233,235,232,233,240,240,241,239,240,240,240,239,239,241,238,239,239,241,240,240,246,247,245,246,250,251,249,250,252,252,239,240,241,241,239,239
44,368,237,231,231,231,231,229,230,230,229,230,230,231,231,231,231,232,231,229,230,230,231,230,230,233,233,233,233,233,233,234,235,239,240,240,239,240,239,239,240,239,240,241,241,240,240,241,244,251,250,251,250,250,240,241,240,240,241,239,250,252,250,250,251
48,368,236,230,230,231,231,229,231,229,229,231,230,230,232,231,231,228,229,231,229,229,229,233,233,233,234,232,234,234,233,233,234,240,239,238,239,240,239,240,240,241,240,239,245,244,244,244,245,240,239,240,239,239,240,250,251,251,249,251,240,239,239,241,239
52,367,236,230,230,230,229,231,230,229,230,231,230,231,230,230,230,230,229,230,230,233,234,232,232,233,234,233,235,235,234,232,233,239,238,239,240,239,240,240,240,244,244,245,243,243,234,234,233,239,240,250,250,250,250,250,240,240,239,240,240,241,242,242,241
56,368,236,230,230,231,230,230,230,229,229,231,231,230,231,230,229,230,230,229,234,234,233,232,233,234,233,234,234,232,232,233,233,240,241,239,240,240,243,244,245,244,243,235,234,233,233,244,243,250,251,251,239,240,240,239,241,243,241,241,243,242,243,243,243
60,367,236,230,232,231,230,230,229,229,231,232,230,231,230,231,229,230,231,233,232,233,233,233,234,234,233,234,233,233,233,233,235,240,239,242,244,244,244,244,233,234,234,233,245,245,244,245,234,239,239,240,240,241,242,243,241,243,243,243,244,241,242,242,241
64,369,237,231,231,230,230,230,230,231,231,231,231,230,230,230,231,233,233,234,233,234,235,234,235,233,233,233,233,234,234,235,236,246,246,245,245,234,235,234,233,245,244,245,244,233,234,235,234,242,243,242,243,243,243,244,243,242,242,242,241,243,243,243,242
68,367,237,231,231,230,229,229,230,231,230,231,231,230,231,230,230,233,234,233,234,235,235,234,233,234,234,232,234,235,234,234,238,244,245,234,234,234,235,244,244,245,245,234,235,233,233,236,236,242,243,244,243,243,242,243,242,242,243,242,244,243,243,244,243
72,368,237,231,231,230,230,229,229,231,231,232,230,230,230,230,233,233,233,235,235,234,234,233,234,232,235,235,233,234,239,239,238,233,233,235,234,245,244,244,245,234,234,235,236,235,237,236,237,242,244,242,242,242,243,242,243,243,245,244,244,245,242,241,242
76,367,236,231,231,231,230,230,231,232,231,232,231,230,231,233,233,233,235,234,234,235,233,233,234,235,234,234,238,238,238,239,228,234,235,244,244,245,244,234,234,234,236,236,237,237,236,237,237,242,243,241,243,244,243,243,245,244,244,243,242,241,244,245,244
80,368,237,231,231,230,229,229,231,231,231,229,230,230,233,233,233,234,234,234,235,233,233,233,235,235,234,238,239,238,227,228,229,244,244,244,244,233,234,234,235,236,236,237,237,238,236,236,237,243,242,244,242,243,243,245,242,242,242,245,244,244,242,242,242
84,369,236,231,231,229,230,230,232,231,231,230,231,230,233,233,234,234,234,235,233,233,233,235,234,234,239,238,238,228,228,228,238,245,244,233,234,233,236,236,236,237,237,238,236,236,236,237,237,243,244,244,245,242,242,243,243,244,245,242,241,242,240,239,240
88,369,237,231,230,230,229,231,231,231,231,231,229,233,234,233,234,235,234,233,234,233,234,235,234,238,239,238,228,229,228,238,239,233,233,233,235,234,235,237,235,236,237,236,235,238,236,237,238,244,244,241,242,241,243,245,244,242,242,242,240,240,240,250,249
92,367,237,231,229,231,229,231,231,231,229,231,230,233,234,234,234,234,234,233,233,235,235,233,238,239,238,227,228,239,239,238,229,234,234,235,237,236,237,237,236,235,236,237,237,237,238,239,238,241,242,242,244,244,243,242,242,241,240,240,249,250,249,240,240
96,368,237,232,229,230,231,231,231,230,230,230,234,233,233,235,234,233,234,233,234,235,234,237,239,228,227,228,238,239,238,228,228,235,236,236,236,238,237,236,236,238,237,236,238,238,238,236,236,244,243,245,243,241,242,241,240,249,250,249,239,240,240,250,249
100,367,237,231,230,230,230,231,231,230,230,229,234,234,234,235,235,233,233,234,234,234,238,238,239,228,228,238,239,238,228,228,230,236,235,237,237,235,235,236,237,236,239,238,237,236,236,235,238,244,241,242,241,240,241,249,249,250,240,240,250,249,249,246,246
104,368,237,231,230,230,231,232,231,230,230,233,233,233,234,234,233,234,233,234,235,238,238,238,228,228,239,239,238,228,228,230,230,238,238,237,237,235,238,237,237,238,238,236,235,236,239,238,236,242,242,241,241,249,249,250,239,240,250,250,249,246,246,238,237
108,369,237,231,230,231,231,231,231,230,230,233,233,234,234,234,234,233,234,234,238,238,239,229,228,239,239,237,227,228,230,229,232,238,237,237,235,237,237,239,238,238,236,236,238,238,238,236,236,240,240,250,249,250,240,240,250,250,247,246,246,238,238,247,246
112,369,237,231,230,231,230,231,230,230,230,234,233,233,235,233,233,234,235,235,238,237,228,228,238,239,239,228,228,230,230,231,232,236,236,236,238,237,238,239,236,235,236,238,237,237,236,234,235,249,249,250,240,240,249,250,246,246,246,239,238,246,247,237,239
116,368,238,231,230,230,231,232,230,229,233,233,233,234,234,232,234,235,234,239,238,228,228,228,238,239,228,227,230,231,231,230,231,236,236,237,237,238,239,236,235,238,239,236,236,236,234,234,244,249,239,240,249,250,246,246,247,239,238,246,246,238,238,244,244
120,369,238,231,230,231,232,231,230,230,233,233,235,235,233,233,234,235,235,240,237,228,228,238,238,227,228,230,230,232,230,230,231,236,237,237,239,238,236,237,238,238,235,237,234,234,243,243,234,241,240,249,250,246,246,238,238,246,246,237,238,245,244,246,246
124,366,236,231,231,230,230,232,230,230,233,233,235,235,232,233,234,234,238,238,228,228,239,238,227,228,231,229,231,232,230,230,232,237,237,239,238,236,236,238,239,235,236,234,233,243,244,234,233,249,249,247,246,237,237,245,246,237,238,244,243,246,246,244,244
128,369,237,230,231,231,231,230,231,233,233,235,234,232,234,235,234,239,239,227,228,239,237,227,228,230,230,232,231,230,231,231,231,238,239,236,235,239,238,237,236,233,235,244,243,234,234,243,243,247,246,238,238,247,246,238,238,244,244,247,246,244,244,247,245
132,368,237,230,231,230,231,230,230,232,234,235,234,233,234,235,234,239,238,227,229,238,237,229,228,230,230,231,229,229,229,230,230,237,235,236,238,237,235,236,234,235,244,243,234,234,243,244,241,246,238,238,246,246,238,237,244,244,246,246,244,244,246,246,250
136,369,237,230,230,231,231,230,231,234,233,235,234,233,234,234,233,238,227,227,238,237,228,227,229,229,230,231,230,231,232,231,231,236,235,239,239,235,237,234,234,243,244,234,234,244,244,240,239,238,246,246,239,238,243,244,247,246,244,245,246,244,251,250,241
140,368,237,230,229,232,231,229,230,233,232,234,234,234,233,235,239,238,228,229,237,238,228,229,231,232,231,231,230,231,231,232,232,236,237,236,235,236,233,233,243,242,233,235,245,240,240,232,231,246,247,238,237,245,244,246,245,245,245,246,251,250,243,243,251
144,369,237,230,230,231,231,230,230,233,234,234,233,234,235,235,239,227,228,239,238,227,228,230,230,231,230,230,231,232,232,232,230,238,238,236,236,234,234,245,244,234,243,242,240,240,232,232,242,238,238,244,243,246,247,244,244,246,250,251,242,243,251,250,242
